INDEX,A
1,-20.040
2,-18.337
3,-20.387
4,-20.662
5,-20.955
6,-21.269
7,-21.608
8,-21.975
9,-22.377
10,-20.417
11,-23.170
12,-20.043
13,-23.119
14,-23.093
15,-23.068
16,-23.043
17,-23.018
18,-22.993
19,-22.969
20,-19.826
21,-22.738
22,-20.945
23,-19.578
24,-22.240
25,-22.086
26,-21.937
27,-21.794
28,-17.277
29,-21.525
30,-20.117
31,-20.455
32,-20.118
33,-21.293
34,-21.237
35,-19.299
36,-21.127
37,-20.367
38,-21.019
39,-20.941
40,-18.286
41,-20.788
42,-18.188
43,-19.656
44,-20.569
45,-20.498
46,-20.428
47,-20.360
48,-20.056
49,-20.342
50,-19.756
51,-17.612
52,-20.326
53,-20.136
54,-19.196
55,-20.309
56,-18.445
57,-20.290
58,-20.274
59,-20.258
60,-20.242
61,-20.227
62,-20.211
63,-20.195
64,-20.180
65,-20.164
66,-19.857
67,-20.088
68,-19.630
69,-20.006
70,-17.518
71,-19.925
72,-19.886
73,-19.846
74,-19.807
75,-19.878
76,-19.267
77,-20.172
78,-20.328
79,-20.160
80,-17.369
81,-20.829
82,-21.010
83,-21.199
84,-21.362
85,-21.497
86,-21.637
87,-21.782
88,-20.553
89,-22.086
90,-22.211
91,-21.035
92,-19.528
93,-19.923
94,-22.615
95,-21.078
96,-21.779
97,-22.461
98,-22.411
99,-22.361
100,-22.312
101,-22.263
102,-22.323
103,-22.613
104,-22.440
105,-23.258
106,-21.192
107,-22.664
108,-21.902
109,-22.563
110,-25.480
111,-25.997
112,-26.215
113,-24.787
114,-24.885
115,-25.229
116,-25.655
117,-27.510
118,-25.126
119,-23.799
120,-25.856
121,-28.825
122,-29.159
123,-29.522
124,-27.783
125,-30.125
126,-28.049
127,-30.256
128,-27.229
129,-30.377
130,-28.213
131,-27.250
132,-29.814
133,-25.182
134,-25.497
135,-29.278
136,-29.102
137,-23.437
138,-28.568
139,-28.721
140,-28.591
141,-28.202
142,-25.682
143,-28.574
144,-28.582
145,-28.589
146,-28.102
147,-28.546
148,-26.504
149,-24.305
150,-28.684
151,-26.594
152,-28.742
153,-25.018
154,-24.937
155,-25.544
156,-27.554
157,-26.746
158,-25.770
159,-28.987
160,-28.033
161,-29.047
162,-28.017
163,-26.534
164,-25.217
165,-26.201
166,-27.889
167,-25.487
168,-29.439
169,-29.540
170,-29.644
171,-29.750
172,-27.936
173,-28.400
174,-27.456
175,-26.983
176,-29.290
177,-30.040
178,-27.942
179,-29.148
180,-27.772
181,-27.017
182,-30.586
183,-29.790
184,-27.328
185,-30.849
186,-31.081
187,-31.525
188,-28.301
189,-29.819
190,-28.521
191,-27.864
192,-29.269
193,-31.803
194,-31.529
195,-29.658
196,-28.580
197,-26.953
198,-27.380
199,-26.552
200,-28.603
201,-29.105
202,-29.114
203,-28.927
204,-28.693
205,-29.686
206,-29.142
207,-29.884
208,-32.956
209,-28.049
210,-32.256
211,-31.537
212,-27.059
213,-29.647
214,-28.020
215,-30.670
216,-29.638
217,-28.823
218,-31.149
219,-29.649
220,-30.950
221,-30.061
222,-30.224
223,-30.880
224,-31.978
225,-30.183
226,-29.453
227,-28.430
228,-27.858
229,-27.955
230,-29.501
231,-29.366
232,-30.880
233,-28.440
234,-28.639
235,-30.018
236,-28.027
237,-30.638
238,-29.463
239,-29.922
240,-31.419
241,-29.942
242,-35.203
243,-30.204
244,-29.399
245,-29.793
246,-29.842
247,-29.593
248,-30.402
249,-30.526
250,-30.674
251,-29.508
252,-29.282
253,-29.228
254,-29.675
255,-31.140
256,-31.472
257,-31.035
258,-31.106
259,-29.710
260,-32.322
261,-30.484
262,-29.073
263,-29.460
264,-30.167
265,-30.572
266,-29.980
267,-30.001
268,-30.901
269,-32.072
270,-29.914
271,-30.835
272,-30.162
273,-30.266
274,-32.578
275,-29.744
276,-30.829
277,-30.993
278,-32.029
279,-36.064
280,-31.796
281,-31.512
282,-30.399
283,-35.424
284,-32.247
285,-30.725
286,-32.866
287,-31.995
288,-32.913
289,-32.444
290,-31.496
291,-31.577
292,-34.098
293,-32.046
294,-31.471
295,-32.473
296,-31.936
297,-32.871
298,-33.218
299,-32.529
300,-32.715
301,-33.073
302,-33.278
303,-36.557
304,-33.177
305,-33.002
306,-35.866
307,-33.164
308,-33.028
309,-34.160
