INDEX,A
1,-20.040
2,-20.129
3,-19.604
4,-20.662
5,-20.955
6,-19.912
7,-21.608
8,-21.975
9,-22.377
10,-20.843
11,-23.170
12,-23.144
13,-23.119
14,-23.093
15,-20.047
16,-23.043
17,-23.018
18,-22.993
19,-20.918
20,-22.917
21,-21.244
22,-22.565
23,-22.400
24,-21.475
25,-21.390
26,-21.937
27,-21.794
28,-21.655
29,-21.410
30,-18.257
31,-21.408
32,-21.350
33,-21.293
34,-19.066
35,-21.181
36,-21.127
37,-21.072
38,-19.966
39,-19.510
40,-20.864
41,-20.543
42,-20.714
43,-20.641
44,-20.569
45,-20.498
46,-20.428
47,-18.887
48,-19.217
49,-19.237
50,-20.336
51,-17.578
52,-20.326
53,-20.320
54,-20.315
55,-17.780
56,-20.304
57,-20.290
58,-20.274
59,-17.446
60,-20.242
61,-20.227
62,-20.211
63,-17.667
64,-20.180
65,-18.978
66,-18.813
67,-18.731
68,-20.047
69,-17.288
70,-18.464
71,-19.925
72,-19.886
73,-17.999
74,-19.807
75,-19.878
76,-20.023
77,-20.172
78,-20.328
79,-20.488
80,-20.655
81,-18.763
82,-21.010
83,-21.199
84,-21.362
85,-21.497
86,-21.637
87,-20.772
88,-21.931
89,-18.460
90,-22.247
91,-22.413
92,-22.587
93,-22.667
94,-22.615
95,-21.477
96,-22.511
97,-20.620
98,-18.461
99,-22.361
100,-22.254
101,-22.263
102,-22.323
103,-22.613
104,-22.924
105,-23.258
106,-21.661
107,-23.895
108,-24.451
109,-24.935
110,-22.419
111,-25.997
112,-26.215
113,-26.445
114,-26.688
115,-26.945
116,-25.709
117,-27.510
118,-27.823
119,-28.160
120,-28.514
121,-28.825
122,-28.513
123,-26.437
124,-27.358
125,-30.125
126,-30.190
127,-27.374
128,-30.323
129,-28.697
130,-29.979
131,-29.993
132,-29.814
133,-29.007
134,-27.233
135,-29.278
136,-26.953
137,-28.932
138,-28.769
139,-28.721
140,-27.445
141,-28.637
142,-28.595
143,-28.574
144,-28.582
145,-26.910
146,-28.597
147,-26.503
148,-28.629
149,-28.656
150,-24.991
151,-24.984
152,-26.893
153,-28.727
154,-26.607
155,-25.866
156,-28.038
157,-28.278
158,-27.907
159,-28.368
160,-29.017
161,-29.047
162,-29.077
163,-29.107
164,-28.630
165,-29.169
166,-29.244
167,-29.340
168,-28.235
169,-28.579
170,-29.644
171,-29.750
172,-29.859
173,-29.538
174,-30.085
175,-29.987
176,-30.307
177,-30.420
178,-27.799
179,-30.654
180,-30.777
181,-28.553
182,-29.899
183,-28.382
184,-27.806
185,-29.402
186,-29.854
187,-31.525
188,-29.041
189,-28.396
190,-29.684
191,-31.883
192,-28.594
193,-28.640
194,-32.101
195,-32.149
196,-30.898
197,-29.964
198,-31.402
199,-29.933
200,-29.520
201,-28.944
202,-29.365
203,-30.119
204,-30.777
205,-32.726
206,-32.801
207,-32.509
208,-30.806
209,-30.615
210,-31.919
211,-28.689
212,-30.084
213,-30.430
214,-30.285
215,-30.710
216,-28.855
217,-32.067
218,-30.274
219,-30.001
220,-32.491
221,-31.076
222,-34.026
223,-29.642
224,-29.298
225,-34.204
226,-30.504
227,-30.873
228,-30.488
229,-29.809
230,-33.063
231,-29.857
232,-33.554
233,-29.988
234,-31.593
235,-31.416
236,-30.011
237,-30.689
238,-31.061
239,-30.587
240,-29.461
241,-32.488
242,-30.603
243,-31.559
244,-30.825
245,-31.576
246,-30.952
247,-31.166
248,-30.694
249,-32.773
250,-30.758
251,-32.819
252,-32.121
253,-31.602
254,-32.751
255,-30.246
256,-32.276
257,-31.302
258,-31.638
259,-30.733
260,-31.333
261,-29.969
262,-32.320
263,-31.699
264,-31.847
265,-32.182
266,-32.157
267,-31.777
268,-32.811
269,-30.658
270,-31.686
271,-32.920
272,-29.846
273,-35.680
274,-32.172
275,-33.174
276,-34.679
277,-33.362
278,-35.008
279,-31.712
280,-33.700
281,-32.217
282,-32.679
283,-32.335
284,-33.559
285,-35.320
286,-36.759
287,-32.424
288,-31.949
289,-36.805
290,-31.686
291,-32.941
292,-34.602
293,-32.192
294,-32.802
295,-33.613
296,-31.914
297,-34.378
298,-34.243
299,-33.487
300,-32.291
301,-34.487
302,-32.930
303,-36.360
304,-32.704
305,-34.192
306,-35.759
307,-36.617
308,-32.807
309,-37.126
310,-35.074
311,-33.767
312,-34.733
313,-32.877
314,-32.587
315,-37.241
316,-33.746
317,-33.962
318,-33.742
319,-33.516
320,-34.280
321,-33.975
322,-33.373
323,-34.351
324,-33.346
325,-33.590
326,-32.921
327,-37.056
328,-33.530
329,-34.154
330,-37.237
331,-36.115
332,-34.745
333,-33.457
334,-32.768
335,-32.724
336,-32.022
337,-33.425
338,-33.811
339,-33.015
340,-32.299
341,-32.643
342,-32.755
343,-33.599
344,-36.943
345,-33.709
346,-35.297
347,-32.961
348,-32.603
349,-32.946
350,-34.351
351,-33.450
352,-33.514
353,-31.276
354,-32.831
355,-33.386
356,-36.653
357,-32.856
358,-32.445
359,-31.900
360,-33.739
361,-34.163
362,-32.309
363,-33.046
364,-31.770
365,-31.850
366,-34.376
367,-32.364
368,-34.864
369,-32.866
370,-33.161
371,-33.929
372,-32.968
373,-33.186
374,-32.121
375,-33.653
376,-33.221
377,-33.333
378,-32.355
379,-32.771
380,-33.204
381,-33.295
382,-34.519
383,-33.992
384,-39.955
385,-34.560
386,-33.376
387,-35.029
388,-35.617
389,-35.620
390,-35.681
391,-33.251
392,-34.489
393,-34.995
394,-34.209
395,-34.884
396,-34.479
397,-33.550
398,-34.569
399,-34.906
400,-34.518
401,-33.681
402,-33.452
403,-33.382
404,-33.015
405,-33.364
406,-32.127
407,-32.717
408,-31.788
409,-31.262
410,-30.893
411,-30.427
412,-29.610
413,-28.859
414,-28.225
415,-27.809
416,-27.384
417,-26.405
418,-26.003
419,-25.518
420,-25.080
421,-24.664
422,-24.432
423,-24.381
424,-24.153
425,-24.087
426,-24.059
427,-24.085
428,-24.132
429,-24.302
430,-24.509
431,-24.783
432,-25.132
433,-25.445
434,-25.854
435,-26.155
436,-26.568
437,-26.832
438,-27.272
439,-27.737
440,-27.995
441,-28.333
442,-28.394
443,-28.782
444,-28.698
445,-28.792
446,-28.980
447,-29.045
448,-28.951
449,-28.970
450,-29.219
451,-29.112
452,-29.132
453,-29.041
454,-29.125
455,-29.377
456,-29.225
457,-29.429
458,-29.319
459,-29.547
460,-29.557
461,-29.798
462,-29.849
463,-29.922
464,-30.005
465,-30.087
466,-30.187
467,-30.243
468,-30.161
469,-30.170
470,-30.278
471,-30.242
472,-30.353
473,-30.305
474,-30.320
475,-30.555
476,-30.407
477,-30.433
478,-30.406
479,-30.506
480,-30.369
481,-30.407
482,-30.451
483,-30.354
484,-30.469
485,-30.558
486,-30.501
487,-30.650
488,-30.563
489,-30.586
490,-30.419
491,-30.603
492,-30.614
493,-30.483
494,-30.694
495,-30.735
496,-30.670
497,-30.554
498,-30.619
499,-30.657
500,-30.690
501,-30.889
502,-30.799
503,-30.884
504,-30.936
505,-31.036
506,-30.905
507,-30.730
508,-30.668
509,-30.962
510,-31.048
511,-30.847
512,-31.004
513,-30.835
514,-30.840
515,-31.069
516,-31.083
517,-31.004
518,-31.002
519,-31.048
520,-30.955
521,-31.188
522,-31.239
523,-31.317
524,-31.092
525,-31.438
526,-31.139
527,-31.093
528,-31.161
529,-31.337
530,-31.389
531,-31.299
532,-31.368
533,-31.293
534,-31.258
535,-31.335
536,-31.181
537,-31.382
538,-31.453
539,-31.629
540,-31.556
541,-31.540
542,-31.506
543,-31.595
