wavelength, A
4.942285767e+02,3.728455864e-03
4.943851013e+02,-3.493961878e-03
4.945416565e+02,4.385039210e-03
4.946981812e+02,-1.430413919e-03
4.948547363e+02,2.743580611e-03
4.950112915e+02,-2.086997265e-03
4.951678467e+02,3.306366503e-03
4.953244019e+02,-5.557509605e-03
4.954809875e+02,-9.614257142e-04
4.956375427e+02,-7.269316702e-04
4.957941284e+02,1.711806748e-03
4.959507141e+02,-1.524211490e-03
4.961072998e+02,1.195919816e-03
4.962639160e+02,-1.336616231e-03
4.964205017e+02,2.602884313e-03
4.965771179e+02,-3.165669972e-03
4.967337341e+02,2.602884313e-03
4.968903503e+02,-4.572634585e-03
4.970469666e+02,5.698205903e-03
4.972036133e+02,-3.681557020e-03
4.973602600e+02,1.008324558e-03
4.975169067e+02,-1.571110333e-03
4.976735535e+02,3.118771361e-03
4.978302002e+02,-2.415288938e-03
4.979868774e+02,-7.738304557e-04
4.981435242e+02,-5.088521633e-03
4.983002014e+02,3.493961878e-03
4.984568787e+02,-4.103646614e-03
4.986135559e+02,2.133896109e-03
4.987702637e+02,-1.383515075e-03
4.989269409e+02,1.852503279e-03
4.990836487e+02,-2.790479455e-03
4.992403564e+02,3.259467660e-03
4.993970642e+02,-5.745104980e-03
4.995538025e+02,1.571110333e-03
4.997105103e+02,-3.634658176e-03
4.998672485e+02,3.353265347e-03
5.000239868e+02,-5.041622557e-03
5.001807251e+02,1.993199578e-03
5.003374634e+02,-1.805604436e-03
5.004942322e+02,2.579434949e-04
5.006510010e+02,-7.949349470e-03
5.008077393e+02,3.728455864e-03
5.009645386e+02,-1.805604436e-03
5.011213074e+02,2.978074830e-03
5.012780762e+02,-1.899402007e-03
5.014348755e+02,5.557509605e-03
5.015916748e+02,-4.713330884e-03
5.017484741e+02,1.805604436e-03
5.019052734e+02,1.055223402e-03
5.020620728e+02,3.493961878e-03
5.022189026e+02,-2.133896109e-03
5.023757324e+02,3.165669972e-03
5.025325623e+02,-4.291241523e-03
5.026893921e+02,9.614257142e-04
5.028462219e+02,-3.986399388e-04
5.030030823e+02,6.331340410e-04
5.031599121e+02,-1.805604436e-03
5.033167725e+02,3.869152395e-03
5.034736328e+02,-3.165669972e-03
5.036304932e+02,1.711806748e-03
5.037873840e+02,-3.400164191e-03
5.039442749e+02,4.455387534e-04
5.041011353e+02,-2.180794952e-03
5.042580261e+02,2.086997265e-03
5.044149475e+02,-1.618009177e-03
5.045718384e+02,-2.344940731e-05
5.047287598e+02,-3.400164191e-03
5.048856506e+02,2.790479455e-03
5.050425720e+02,-3.353265347e-03
5.051994934e+02,1.899402007e-03
5.053564453e+02,-2.227693796e-03
5.055133667e+02,1.383515075e-03
5.056703186e+02,-2.884277143e-03
5.058272705e+02,3.447063034e-03
5.059842224e+02,-2.743580611e-03
5.061411743e+02,6.331340410e-04
5.062981567e+02,-3.447063034e-03
5.064551086e+02,4.666432273e-03
5.066120911e+02,-4.994723946e-03
5.067690735e+02,3.118771361e-03
5.069260559e+02,-2.462187782e-03
5.070830688e+02,1.805604436e-03
5.072400513e+02,-2.227693796e-03
5.073970642e+02,2.321491484e-03
5.075540771e+02,-6.800328265e-04
5.077110901e+02,1.852503279e-03
5.078681030e+02,-4.455387534e-04
5.080251465e+02,1.711806748e-03
5.081821899e+02,-3.587759333e-03
5.083392334e+02,4.103646614e-03
5.084962769e+02,-4.431938287e-03
5.086533203e+02,2.884277143e-03
5.088103638e+02,-4.244342912e-03
5.089674377e+02,5.393363535e-04
5.091245117e+02,-2.415288938e-03
5.092815857e+02,2.696682001e-03
5.094386597e+02,-4.619533196e-03
5.095957336e+02,2.227693796e-03
5.097528381e+02,-4.666432273e-03
5.099099426e+02,3.071872517e-03
5.100670471e+02,-2.274592640e-03
5.102241516e+02,1.289717387e-03
5.103812561e+02,-3.916051239e-03
5.105383911e+02,6.800328265e-04
5.106954956e+02,-4.244342912e-03
5.108526306e+02,3.447063034e-03
5.110097656e+02,-1.664907904e-03
5.111669312e+02,2.344940731e-05
5.113240662e+02,5.393363535e-04
5.114812317e+02,3.634658176e-03
5.116383667e+02,-1.899402007e-03
5.117955322e+02,2.086997265e-03
5.119527283e+02,-1.711806748e-03
5.121098633e+02,4.666432273e-03
5.122670898e+02,-1.664907904e-03
5.124242554e+02,2.978074830e-03
5.125814819e+02,-1.758705592e-03
5.127386475e+02,3.517411242e-04
5.128958740e+02,1.195919816e-03
5.130531006e+02,6.214092951e-03
5.132102661e+02,-1.102122129e-03
5.133674927e+02,4.619533196e-03
5.135247192e+02,-2.602884313e-03
5.136819458e+02,2.931175986e-03
5.138392334e+02,-8.207292994e-04
5.139964600e+02,2.884277143e-03
5.141536865e+02,-3.540860489e-03
5.143109741e+02,2.368390094e-03
5.144682007e+02,-1.571110333e-03
5.146254883e+02,2.978074830e-03
5.147827759e+02,-6.800328265e-04
5.149400635e+02,2.462187782e-03
5.150973511e+02,-1.618009177e-03
5.152546387e+02,6.542384624e-03
5.154119263e+02,-4.666432273e-03
5.155692139e+02,4.291241523e-03
5.157265015e+02,-1.641458512e-04
5.158838501e+02,2.368390094e-03
5.160411377e+02,-6.800328265e-04
5.161984863e+02,2.321491484e-03
5.163558350e+02,-2.696682001e-03
5.165131226e+02,3.447063034e-03
5.166704712e+02,-1.946300850e-03
5.168278198e+02,2.837378299e-03
5.169851685e+02,-1.711806748e-03
5.171425781e+02,4.431938287e-03
5.172999268e+02,-1.899402007e-03
5.174572754e+02,1.242818660e-03
5.176146851e+02,-2.649783157e-03
5.177720337e+02,3.212568816e-03
5.179294434e+02,-9.145269287e-04
5.180867920e+02,2.884277143e-03
5.182442017e+02,-1.899402007e-03
5.184016113e+02,4.994723946e-03
5.185590210e+02,-3.118771361e-03
5.187164307e+02,3.962949850e-03
5.188738403e+02,-5.463711917e-03
5.190313110e+02,3.962949850e-03
5.191887207e+02,-2.602884313e-03
5.193461914e+02,1.289717387e-03
5.195036011e+02,-2.509086626e-03
5.196610718e+02,2.837378299e-03
5.198184814e+02,-1.711806748e-03
5.199759521e+02,2.509086626e-03
5.201334229e+02,-4.807128571e-03
5.202908936e+02,2.884277143e-03
5.204483643e+02,-3.681557020e-03
5.206058960e+02,3.353265347e-03
5.207633667e+02,-3.587759333e-03
5.209208374e+02,3.071872517e-03
5.210783691e+02,-5.041622557e-03
5.212358398e+02,5.463711917e-03
5.213933716e+02,-2.040098421e-03
5.215509033e+02,3.071872517e-03
5.217083740e+02,-8.676280850e-04
5.218659058e+02,3.447063034e-03
5.220234375e+02,-5.393363535e-04
5.221810303e+02,1.172470365e-04
5.223385620e+02,-3.775354708e-03
5.224960938e+02,2.462187782e-03
5.226536865e+02,-3.728455864e-03
5.228112183e+02,5.463711917e-03
5.229688110e+02,-2.227693796e-03
5.231263428e+02,1.383515075e-03
5.232839355e+02,-4.619533196e-03
5.234415283e+02,4.994723946e-03
5.235991211e+02,-1.571110333e-03
5.237567139e+02,3.353265347e-03
5.239143066e+02,-2.227693796e-03
5.240718994e+02,3.071872517e-03
5.242295532e+02,-3.540860489e-03
5.243871460e+02,2.509086626e-03
5.245447388e+02,6.331340410e-04
5.247023926e+02,2.415288938e-03
5.248600464e+02,-5.393363535e-04
5.250177002e+02,3.587759333e-03
5.251752930e+02,-3.212568816e-03
5.253329468e+02,2.790479455e-03
5.254906006e+02,-2.462187782e-03
5.256483154e+02,4.947824869e-03
5.258059692e+02,-2.884277143e-03
5.259636230e+02,4.572634585e-03
5.261213379e+02,-1.008324558e-03
5.262789917e+02,2.274592640e-03
5.264367065e+02,-9.145269287e-04
5.265943604e+02,5.979598965e-03
5.267520752e+02,-3.493961878e-03
5.269097900e+02,2.133896109e-03
5.270675049e+02,-3.775354708e-03
5.272252197e+02,4.291241523e-03
5.273829346e+02,-1.477312646e-03
5.275407104e+02,5.393363535e-04
5.276984253e+02,1.641458512e-04
5.278561401e+02,3.118771361e-03
5.280139160e+02,-1.993199578e-03
5.281716919e+02,4.056747537e-03
5.283294067e+02,-1.664907904e-03
5.284871826e+02,2.931175986e-03
5.286449585e+02,-1.711806748e-03
5.288027344e+02,4.197443835e-03
5.289605103e+02,-2.368390094e-03
5.291182861e+02,5.041622557e-03
