INDEX,A
1,-18.848
2,-20.129
3,-20.387
4,-20.662
5,-20.955
6,-21.269
7,-21.608
8,-21.975
9,-19.893
10,-22.819
11,-23.170
12,-23.144
13,-23.119
14,-23.093
15,-23.068
16,-22.052
17,-23.018
18,-21.650
19,-22.703
20,-22.917
21,-22.738
22,-21.339
23,-22.400
24,-22.240
25,-22.086
26,-21.937
27,-21.794
28,-20.477
29,-21.525
30,-21.466
31,-21.408
32,-18.071
33,-20.422
34,-21.237
35,-21.181
36,-18.308
37,-21.072
38,-21.019
39,-19.065
40,-20.864
41,-20.788
42,-20.714
43,-20.641
44,-20.569
45,-20.498
46,-20.428
47,-18.210
48,-20.347
49,-19.431
50,-18.046
51,-17.985
52,-18.137
53,-20.320
54,-20.315
55,-20.309
56,-20.304
57,-20.290
58,-20.274
59,-20.258
60,-20.242
61,-20.227
62,-20.211
63,-20.120
64,-19.115
65,-20.164
66,-20.130
67,-20.088
68,-20.047
69,-20.006
70,-19.966
71,-19.925
72,-19.163
73,-19.846
74,-19.807
75,-18.715
76,-20.023
77,-19.957
78,-20.328
79,-18.392
80,-20.655
81,-19.456
82,-21.010
83,-21.199
84,-21.362
85,-21.497
86,-21.035
87,-21.782
88,-19.852
89,-22.086
90,-22.247
91,-21.979
92,-21.613
93,-21.813
94,-22.615
95,-22.563
96,-21.486
97,-22.461
98,-22.411
99,-22.361
100,-20.533
101,-22.263
102,-22.323
103,-22.613
104,-22.924
105,-23.258
106,-23.620
107,-22.369
108,-24.451
109,-24.935
110,-25.480
111,-25.997
112,-24.917
113,-26.445
114,-26.688
115,-26.945
116,-26.325
117,-27.510
118,-27.823
119,-26.936
120,-28.514
121,-28.825
122,-29.159
123,-29.522
124,-29.917
125,-29.941
126,-28.849
127,-30.256
128,-28.645
129,-30.377
130,-30.181
131,-29.993
132,-26.238
133,-28.918
134,-29.462
135,-29.278
136,-26.111
137,-28.932
138,-26.476
139,-27.660
140,-28.679
141,-28.637
142,-28.595
143,-28.574
144,-28.582
145,-28.589
146,-28.597
147,-27.530
148,-28.629
149,-27.692
150,-28.684
151,-28.711
152,-28.742
153,-28.780
154,-28.819
155,-28.858
156,-28.897
157,-28.928
158,-26.557
159,-28.987
160,-28.746
161,-29.047
162,-28.325
163,-29.107
164,-29.138
165,-29.169
166,-29.244
167,-29.340
168,-29.439
169,-29.540
170,-29.644
171,-29.750
172,-28.623
173,-29.971
174,-30.085
175,-30.197
176,-28.145
177,-30.420
178,-30.535
179,-30.650
180,-26.656
181,-30.903
182,-31.033
183,-30.856
184,-31.275
185,-29.554
186,-31.440
187,-31.525
188,-26.960
189,-31.700
190,-31.790
191,-31.883
192,-31.977
193,-30.325
194,-32.101
195,-32.149
196,-29.642
197,-32.247
198,-32.296
199,-32.347
200,-32.398
201,-32.449
202,-32.507
203,-32.579
204,-32.652
205,-32.726
206,-32.801
207,-32.878
208,-32.588
209,-32.783
210,-33.117
211,-31.342
212,-33.272
213,-32.129
214,-33.424
215,-33.502
216,-31.427
217,-33.486
218,-33.745
219,-33.830
220,-33.912
221,-33.969
222,-32.647
223,-33.745
224,-32.467
225,-34.204
226,-31.357
227,-34.326
228,-34.389
229,-34.452
230,-34.507
231,-33.182
232,-34.618
233,-34.674
234,-34.732
235,-34.642
236,-34.196
237,-34.909
238,-34.969
239,-34.109
240,-35.085
241,-34.642
242,-35.168
243,-34.460
244,-34.879
245,-35.388
246,-35.451
247,-31.890
248,-35.557
249,-34.595
250,-35.060
251,-35.671
252,-35.710
253,-34.392
254,-35.789
255,-34.401
256,-35.869
257,-35.897
258,-34.533
259,-35.476
260,-35.873
261,-35.995
262,-36.020
263,-35.161
264,-35.533
265,-36.095
266,-36.124
267,-35.771
268,-36.186
269,-36.218
270,-36.250
271,-32.355
272,-36.315
273,-36.347
274,-36.380
275,-36.414
276,-36.314
277,-36.484
278,-36.520
279,-36.556
280,-36.592
281,-35.749
282,-36.665
283,-36.702
284,-36.729
285,-36.744
286,-36.759
287,-36.775
288,-36.790
289,-36.805
290,-36.821
291,-36.837
292,-36.636
293,-36.868
294,-36.886
295,-35.927
296,-36.920
297,-35.005
298,-35.637
299,-35.142
300,-36.991
301,-37.009
302,-37.026
303,-36.226
304,-36.200
305,-37.069
306,-37.083
307,-37.098
308,-35.281
309,-37.126
310,-37.141
311,-37.157
312,-37.154
313,-37.199
314,-36.160
315,-37.241
316,-37.262
317,-34.736
318,-37.305
319,-37.001
320,-37.345
321,-35.747
322,-35.807
323,-37.128
324,-36.908
325,-36.003
326,-37.261
327,-37.247
328,-37.233
329,-37.220
330,-37.237
331,-37.255
332,-37.272
333,-37.289
334,-37.307
335,-35.298
336,-37.342
337,-37.360
338,-36.929
339,-36.598
340,-36.445
341,-37.455
342,-37.481
343,-37.507
344,-37.534
345,-33.865
346,-37.587
347,-37.541
348,-37.048
349,-37.664
350,-35.099
351,-37.713
352,-37.738
353,-37.763
354,-34.725
355,-36.325
356,-37.839
357,-37.875
358,-37.915
359,-37.956
360,-37.997
361,-36.563
362,-38.081
363,-35.638
364,-35.302
365,-34.587
366,-38.270
367,-38.343
368,-38.416
369,-36.329
370,-38.568
371,-38.645
372,-38.725
373,-38.528
374,-37.068
375,-35.966
376,-39.078
377,-39.180
378,-36.857
