INDEX,A
1,-20.040
2,-20.129
3,-20.387
4,-20.662
5,-20.358
6,-21.269
7,-21.275
8,-21.975
9,-21.191
10,-22.819
11,-21.569
12,-22.919
13,-23.119
14,-23.093
15,-21.784
16,-19.413
17,-23.018
18,-22.127
19,-22.969
20,-21.404
21,-22.738
22,-22.565
23,-22.400
24,-22.240
25,-21.046
26,-21.937
27,-21.794
28,-21.655
29,-18.480
30,-21.466
31,-19.675
32,-18.082
33,-20.931
34,-21.237
35,-21.181
36,-21.127
37,-21.072
38,-19.176
39,-20.010
40,-20.410
41,-19.957
42,-20.714
43,-20.641
44,-20.569
45,-20.498
46,-20.428
47,-20.360
48,-20.347
49,-20.342
50,-20.078
51,-19.624
52,-20.326
53,-20.320
54,-20.315
55,-18.437
56,-20.304
57,-18.389
58,-20.274
59,-18.655
60,-18.603
61,-17.563
62,-20.211
63,-19.496
64,-20.180
65,-20.164
66,-20.130
67,-18.884
68,-17.814
69,-20.006
70,-18.817
71,-17.267
72,-18.834
73,-19.846
74,-19.807
75,-19.878
76,-20.023
77,-17.475
78,-19.756
79,-20.488
80,-20.655
81,-20.829
82,-20.462
83,-21.199
84,-21.362
85,-20.667
86,-21.110
87,-18.548
88,-21.931
89,-18.636
90,-17.733
91,-22.413
92,-20.427
93,-22.667
94,-22.615
95,-22.563
96,-22.511
97,-22.461
98,-22.411
99,-20.230
100,-22.312
101,-22.263
102,-22.323
103,-22.471
104,-21.639
105,-23.258
106,-23.620
107,-21.866
108,-24.451
109,-24.935
110,-25.480
111,-25.399
112,-25.184
113,-26.445
114,-26.688
115,-26.945
116,-27.218
117,-27.510
118,-27.823
119,-27.394
120,-28.514
121,-28.825
122,-29.116
123,-29.522
124,-29.884
125,-29.423
126,-30.190
127,-27.212
128,-29.915
129,-30.377
130,-30.181
131,-27.890
132,-29.814
133,-29.641
134,-27.955
135,-28.524
136,-24.367
137,-28.633
138,-26.344
139,-28.721
140,-25.489
141,-28.637
142,-28.595
143,-24.630
144,-28.582
145,-28.589
146,-28.597
147,-28.604
148,-28.629
149,-28.656
150,-28.609
151,-28.375
152,-27.543
153,-28.780
154,-28.819
155,-28.858
156,-28.897
157,-28.928
158,-26.560
159,-28.987
160,-27.021
161,-29.047
162,-29.077
163,-28.061
164,-29.138
165,-28.393
166,-29.244
167,-29.340
168,-27.170
169,-29.540
170,-26.733
171,-29.065
172,-29.859
173,-29.971
174,-26.517
175,-29.521
176,-28.071
177,-27.099
178,-30.535
179,-30.654
180,-29.990
181,-30.903
182,-31.033
183,-30.633
184,-31.275
185,-31.357
186,-29.862
187,-28.322
188,-31.612
189,-31.700
190,-29.531
191,-29.316
192,-29.557
193,-27.892
194,-32.101
195,-32.149
196,-31.405
197,-32.247
198,-32.296
199,-32.347
200,-29.583
201,-29.080
202,-32.507
203,-32.579
204,-32.652
205,-32.726
206,-32.801
207,-28.815
208,-32.956
209,-28.797
210,-33.117
211,-32.894
212,-32.055
213,-31.630
214,-33.424
215,-32.641
216,-33.582
217,-31.735
218,-31.385
219,-33.830
220,-29.680
221,-30.186
222,-34.026
223,-32.703
224,-30.667
225,-34.204
226,-32.174
227,-29.929
228,-31.148
229,-34.452
230,-31.827
231,-31.941
232,-34.618
233,-34.674
234,-34.732
235,-33.995
236,-30.911
237,-34.319
238,-30.909
239,-30.357
240,-34.811
241,-30.020
242,-31.370
243,-35.264
244,-33.606
245,-33.293
246,-31.870
247,-33.013
248,-33.076
249,-30.950
250,-32.039
251,-33.363
252,-32.694
253,-35.749
254,-32.563
255,-34.635
256,-35.869
257,-34.273
258,-32.159
259,-34.288
260,-34.089
261,-31.500
262,-34.371
263,-31.745
264,-33.327
265,-32.473
266,-33.373
267,-34.053
268,-34.703
269,-35.304
270,-36.250
271,-32.101
272,-32.643
273,-33.405
274,-34.750
275,-32.273
276,-32.444
277,-35.924
278,-36.520
279,-33.194
280,-36.592
281,-33.788
282,-36.665
283,-35.414
284,-34.639
285,-36.744
286,-34.121
287,-36.775
288,-34.290
289,-36.742
290,-36.821
291,-33.857
292,-35.026
293,-34.408
294,-36.886
295,-34.803
296,-35.387
297,-36.938
298,-36.244
299,-36.973
300,-36.110
301,-33.256
302,-34.585
303,-37.040
304,-32.038
305,-33.904
306,-33.559
307,-34.218
308,-34.329
309,-37.126
310,-33.385
311,-35.384
312,-32.970
313,-37.199
314,-35.730
315,-37.241
316,-33.733
317,-33.004
318,-35.575
319,-37.327
320,-35.730
321,-37.331
322,-37.317
323,-34.245
324,-35.223
325,-37.275
326,-37.261
327,-36.868
328,-37.233
329,-37.220
330,-35.726
331,-32.874
332,-34.674
333,-37.289
334,-34.961
335,-37.325
336,-34.594
337,-34.906
338,-35.689
339,-34.338
340,-34.366
341,-35.336
342,-33.462
343,-37.194
344,-33.007
345,-34.207
346,-35.854
347,-37.614
348,-33.365
349,-34.616
350,-35.392
351,-33.774
352,-34.820
353,-34.023
354,-35.261
355,-34.005
356,-37.839
357,-33.018
358,-37.746
359,-33.611
360,-37.652
361,-34.404
362,-33.948
363,-32.320
364,-35.576
365,-34.035
366,-34.469
367,-34.102
368,-35.436
369,-34.950
370,-36.691
371,-35.610
372,-38.152
373,-34.346
374,-38.372
375,-34.002
376,-36.581
377,-36.249
378,-33.554
379,-35.667
380,-35.694
381,-35.803
382,-37.867
383,-35.039
384,-38.398
385,-35.543
386,-35.825
387,-35.599
388,-36.164
389,-35.123
390,-35.847
391,-36.868
392,-35.975
393,-36.562
394,-34.212
395,-35.545
396,-35.967
397,-37.480
398,-36.496
399,-34.782
400,-35.905
401,-34.600
402,-34.277
403,-35.960
404,-36.110
405,-34.548
406,-34.500
407,-33.746
408,-32.905
409,-32.388
410,-31.933
411,-31.641
412,-30.463
413,-30.036
414,-29.249
415,-28.589
416,-27.993
417,-27.404
418,-26.742
419,-26.113
420,-25.636
421,-25.281
422,-24.960
423,-24.707
424,-24.772
425,-24.643
426,-24.624
427,-24.628
428,-24.809
429,-25.013
430,-25.288
431,-25.629
432,-26.004
433,-26.461
434,-26.708
435,-27.129
436,-27.627
437,-27.911
438,-28.370
439,-28.824
440,-29.020
441,-29.331
442,-29.414
443,-29.696
444,-29.549
445,-29.848
446,-29.966
447,-30.118
448,-30.037
449,-30.039
450,-30.080
451,-30.413
452,-30.439
453,-30.557
454,-30.258
455,-30.299
456,-30.456
457,-30.355
458,-30.541
459,-30.336
460,-30.568
461,-30.830
462,-30.777
463,-31.006
464,-30.954
465,-31.383
466,-31.623
467,-31.273
468,-31.233
469,-31.366
470,-31.498
471,-31.431
472,-31.832
473,-31.825
474,-31.628
475,-31.510
476,-31.493
477,-31.543
478,-31.761
479,-31.805
480,-31.740
481,-32.045
482,-31.935
483,-31.890
484,-31.787
485,-31.803
486,-31.859
487,-31.953
488,-31.987
489,-31.865
490,-32.070
491,-31.960
492,-32.027
493,-32.008
494,-31.905
495,-32.113
496,-31.988
497,-31.842
498,-31.853
499,-32.197
500,-32.294
501,-32.426
502,-32.391
503,-32.505
504,-32.528
505,-32.465
506,-32.455
507,-32.391
508,-32.355
509,-32.576
510,-32.487
511,-32.297
512,-32.566
513,-32.407
514,-32.639
515,-32.500
516,-32.370
517,-32.679
518,-32.580
519,-32.591
520,-32.688
521,-32.596
522,-32.777
523,-32.781
524,-32.762
525,-32.639
526,-32.965
527,-32.862
528,-32.844
529,-32.589
530,-32.537
531,-32.587
532,-32.692
533,-32.570
534,-32.619
535,-32.731
536,-32.883
537,-32.639
538,-32.793
539,-32.805
540,-32.720
541,-33.188
542,-32.904
543,-32.897
