INDEX,A
1,-19.581
2,-17.265
3,-20.387
4,-20.662
5,-20.427
6,-21.269
7,-21.608
8,-20.760
9,-22.377
10,-21.039
11,-23.170
12,-23.144
13,-23.119
14,-23.093
15,-23.068
16,-23.043
17,-21.519
18,-20.761
19,-22.969
20,-22.917
21,-22.210
22,-22.565
23,-22.400
24,-20.215
25,-22.086
26,-21.937
27,-20.032
28,-18.579
29,-21.525
30,-20.790
31,-21.408
32,-21.350
33,-21.293
34,-21.237
35,-21.181
36,-21.127
37,-21.072
38,-21.019
39,-19.138
40,-20.864
41,-18.632
42,-19.515
43,-20.641
44,-20.149
45,-18.334
46,-20.428
47,-17.433
48,-20.347
49,-20.342
50,-20.336
51,-20.331
52,-19.287
53,-20.320
54,-20.315
55,-18.442
56,-18.097
57,-19.563
58,-20.274
59,-19.625
60,-20.242
61,-20.227
62,-16.752
63,-20.195
64,-20.180
65,-20.164
66,-18.393
67,-18.991
68,-16.704
69,-14.607
70,-19.966
71,-18.883
72,-19.886
73,-19.846
74,-15.504
75,-19.433
76,-18.026
77,-20.172
78,-20.328
79,-20.411
80,-20.655
81,-20.829
82,-21.010
83,-21.199
84,-21.362
85,-21.497
86,-21.637
87,-21.782
88,-21.931
89,-22.086
90,-22.247
91,-22.413
92,-20.738
93,-22.667
94,-21.729
95,-22.563
96,-22.270
97,-20.196
98,-22.411
99,-22.361
100,-22.312
101,-19.415
102,-19.821
103,-20.955
104,-22.924
105,-21.611
106,-19.989
107,-24.016
108,-24.451
109,-22.053
110,-23.525
111,-25.997
112,-25.067
113,-21.534
114,-25.560
115,-22.973
116,-27.218
117,-26.917
118,-27.823
119,-28.160
120,-28.514
121,-26.201
122,-27.747
123,-28.037
124,-29.917
125,-30.125
126,-30.190
127,-30.256
128,-30.126
129,-30.377
130,-28.404
131,-26.512
132,-29.814
133,-29.641
134,-28.219
135,-29.278
136,-29.102
137,-26.584
138,-28.769
139,-26.626
140,-23.838
141,-27.243
142,-26.807
143,-28.574
144,-24.377
145,-26.458
146,-28.597
147,-25.921
148,-28.629
149,-28.656
150,-24.977
151,-28.711
152,-27.657
153,-27.454
154,-28.134
155,-28.858
156,-28.897
157,-28.928
158,-26.580
159,-28.016
160,-27.325
161,-29.047
162,-29.077
163,-27.339
164,-26.514
165,-29.169
166,-29.244
167,-29.340
168,-27.331
169,-28.143
170,-25.699
171,-28.111
172,-29.859
173,-29.898
174,-27.148
175,-30.197
176,-30.307
177,-30.420
178,-28.169
179,-29.542
180,-30.072
181,-28.013
182,-28.448
183,-27.968
184,-31.275
185,-31.357
186,-31.440
187,-28.748
188,-31.612
189,-29.197
190,-29.254
191,-31.883
192,-30.646
193,-31.540
194,-30.426
195,-28.809
196,-30.310
197,-32.247
198,-32.296
199,-31.312
200,-31.956
201,-30.969
202,-29.852
203,-30.363
204,-27.682
205,-29.601
206,-32.801
207,-32.768
208,-29.338
209,-29.783
210,-27.929
211,-33.197
212,-30.639
213,-29.747
214,-28.837
215,-30.905
216,-32.188
217,-30.579
218,-32.108
219,-31.800
220,-29.939
221,-33.001
222,-30.473
223,-31.080
224,-29.804
225,-33.128
226,-30.678
227,-32.064
228,-34.389
229,-30.666
230,-34.507
231,-32.014
232,-32.627
233,-34.674
234,-34.002
235,-31.039
236,-31.639
237,-31.246
238,-31.185
239,-31.160
240,-30.549
241,-35.144
242,-30.893
243,-31.371
244,-29.319
245,-31.895
246,-33.345
247,-35.515
248,-35.040
249,-32.965
250,-33.430
251,-33.896
252,-34.313
253,-35.749
254,-33.795
255,-32.351
256,-32.761
257,-32.151
258,-30.797
259,-31.259
260,-31.343
261,-30.968
262,-30.883
263,-30.973
264,-32.791
265,-31.839
266,-33.303
267,-33.611
268,-33.768
269,-31.209
270,-35.287
271,-31.917
272,-32.876
273,-36.347
274,-32.124
275,-34.353
276,-35.246
277,-32.981
278,-31.716
279,-35.627
280,-34.232
281,-34.798
282,-35.147
283,-33.460
284,-32.606
285,-33.266
286,-34.457
287,-32.723
288,-33.529
289,-32.032
290,-33.774
291,-36.536
292,-32.870
293,-31.896
294,-33.619
295,-32.902
296,-33.420
297,-36.938
298,-35.043
299,-33.262
300,-35.568
301,-31.157
302,-33.571
303,-33.748
304,-34.303
305,-36.218
306,-37.083
307,-32.884
308,-33.444
309,-37.126
310,-32.990
311,-34.162
312,-37.178
313,-37.199
314,-34.115
315,-32.332
316,-33.430
317,-33.644
318,-32.211
319,-34.000
320,-34.861
321,-35.111
322,-34.677
323,-32.733
324,-33.300
325,-31.161
326,-33.964
327,-33.123
328,-36.312
329,-32.273
330,-32.354
331,-32.365
332,-34.675
333,-32.252
334,-34.665
335,-32.465
336,-36.459
337,-34.283
338,-36.122
339,-33.902
340,-37.429
341,-36.145
342,-34.682
343,-34.131
344,-37.534
345,-33.338
346,-33.740
347,-37.614
348,-34.399
349,-37.368
350,-37.688
351,-33.171
352,-36.152
353,-32.308
354,-33.428
355,-33.226
356,-32.355
357,-35.843
358,-33.730
359,-32.551
360,-34.718
361,-32.574
362,-32.774
363,-34.192
364,-33.737
365,-31.517
366,-34.941
367,-35.213
368,-33.222
369,-32.570
370,-34.368
371,-33.896
372,-33.620
373,-33.560
374,-33.639
375,-34.821
376,-34.883
377,-34.607
378,-35.578
379,-34.978
380,-36.036
381,-33.608
382,-33.357
383,-35.217
384,-33.741
385,-34.191
386,-35.506
387,-37.829
388,-35.575
389,-34.387
390,-35.077
391,-36.918
392,-35.623
393,-34.817
394,-34.429
395,-35.005
396,-33.963
397,-35.180
398,-35.535
399,-35.550
400,-34.777
401,-33.460
402,-33.747
403,-34.757
404,-34.415
405,-33.774
406,-33.242
407,-33.012
408,-32.658
409,-32.050
410,-30.977
411,-30.579
412,-30.004
413,-29.127
414,-28.687
415,-28.099
416,-27.562
417,-26.883
418,-26.229
419,-25.669
420,-25.236
421,-24.904
422,-24.587
423,-24.334
424,-24.217
425,-24.100
426,-24.116
427,-24.092
428,-24.298
429,-24.457
430,-24.703
431,-25.144
432,-25.328
433,-25.703
434,-26.054
435,-26.378
436,-26.845
