INDEX,A
1,-17.994
2,-18.561
3,-20.387
4,-20.662
5,-20.955
6,-21.269
7,-21.608
8,-21.975
9,-19.725
10,-22.819
11,-20.644
12,-23.144
13,-22.792
14,-23.093
15,-21.054
16,-22.280
17,-23.018
18,-22.993
19,-22.011
20,-22.917
21,-22.738
22,-22.565
23,-20.457
24,-22.240
25,-22.086
26,-21.937
27,-21.779
28,-21.154
29,-21.525
30,-21.329
31,-21.408
32,-18.553
33,-21.054
34,-21.237
35,-21.181
36,-20.493
37,-21.072
38,-21.019
39,-17.587
40,-19.616
41,-19.646
42,-20.714
43,-19.293
44,-20.182
45,-20.498
46,-20.428
47,-19.754
48,-20.347
49,-20.342
50,-19.159
51,-20.331
52,-20.326
53,-19.268
54,-20.315
55,-20.309
56,-20.016
57,-16.754
58,-20.274
59,-20.258
60,-20.242
61,-20.227
62,-20.211
63,-20.195
64,-20.180
65,-18.825
66,-18.615
67,-17.242
68,-20.047
69,-20.006
70,-19.966
71,-15.081
72,-19.886
73,-19.846
74,-16.831
75,-19.878
76,-20.023
77,-19.453
78,-20.328
79,-19.595
80,-20.655
81,-20.829
82,-18.914
83,-21.199
84,-21.362
85,-21.497
86,-21.046
87,-21.782
88,-21.931
89,-22.086
90,-22.247
91,-22.413
92,-22.587
93,-22.667
94,-22.615
95,-22.563
96,-22.511
97,-22.461
98,-22.411
99,-22.132
100,-22.312
101,-20.035
102,-21.918
103,-22.613
104,-22.924
105,-23.258
106,-22.983
107,-21.629
108,-24.451
109,-22.240
110,-25.441
111,-25.997
112,-26.215
113,-26.445
114,-26.688
115,-26.945
116,-27.218
117,-24.285
118,-27.823
119,-28.160
120,-28.514
121,-25.155
122,-27.319
123,-28.363
124,-29.879
125,-27.254
126,-25.591
127,-25.245
128,-29.712
129,-28.598
130,-27.191
131,-29.993
132,-29.814
133,-27.948
134,-26.113
135,-28.980
136,-29.102
137,-28.932
138,-28.665
139,-28.721
140,-28.679
141,-24.604
142,-24.709
143,-28.574
144,-28.582
145,-28.589
146,-26.463
147,-27.288
148,-25.617
149,-28.656
150,-26.209
151,-25.759
152,-26.407
153,-26.192
154,-26.026
155,-26.481
156,-26.579
157,-28.928
158,-27.919
159,-25.849
160,-24.565
161,-27.671
162,-24.232
163,-25.438
164,-26.741
165,-26.424
166,-23.847
167,-26.198
168,-28.315
169,-29.540
170,-25.718
171,-25.367
172,-25.428
173,-27.287
174,-25.470
175,-28.218
176,-25.399
177,-26.959
178,-27.130
179,-25.708
180,-26.603
181,-28.457
182,-26.730
183,-26.213
184,-27.326
185,-27.354
186,-25.684
187,-27.225
188,-27.473
189,-26.245
190,-27.058
191,-27.782
192,-28.058
193,-27.122
194,-28.036
195,-27.928
196,-26.780
197,-27.156
198,-28.358
199,-27.372
200,-27.127
201,-30.066
202,-31.596
203,-28.623
204,-27.968
205,-26.775
206,-26.975
207,-26.895
208,-28.903
209,-27.885
210,-28.004
211,-28.398
212,-27.345
213,-30.557
214,-27.234
215,-27.910
216,-27.241
217,-28.251
218,-27.193
219,-27.910
220,-26.820
221,-28.613
222,-27.074
223,-27.564
224,-27.661
225,-28.795
226,-29.081
227,-28.004
228,-28.534
229,-28.026
230,-28.316
231,-29.225
232,-28.024
233,-28.948
234,-27.379
235,-27.697
236,-27.786
237,-29.915
238,-28.012
239,-29.401
240,-28.163
241,-29.555
242,-32.936
243,-29.436
244,-29.245
245,-28.605
246,-28.692
247,-30.188
248,-29.700
249,-28.953
250,-28.904
251,-28.421
252,-28.944
253,-28.851
254,-27.996
255,-29.256
256,-28.436
257,-28.745
258,-29.714
259,-28.597
260,-29.877
261,-29.175
262,-28.587
263,-28.853
264,-29.014
265,-29.311
266,-30.630
267,-30.088
268,-29.568
269,-29.168
270,-30.153
271,-29.528
272,-29.514
273,-30.868
274,-30.123
275,-29.288
276,-29.856
277,-30.552
278,-29.839
279,-29.394
280,-30.702
281,-30.614
282,-31.104
283,-30.190
284,-30.323
285,-32.207
286,-31.909
287,-30.716
288,-31.361
289,-30.188
290,-30.882
291,-30.622
292,-30.986
293,-31.563
294,-30.457
295,-32.275
296,-33.646
297,-32.592
298,-33.578
299,-32.016
300,-31.415
301,-32.186
302,-31.883
303,-31.843
304,-33.990
305,-32.481
306,-34.592
307,-33.170
308,-33.183
309,-33.605
310,-32.950
311,-31.137
312,-31.052
313,-31.328
314,-32.825
315,-31.621
316,-31.756
317,-31.405
318,-32.599
319,-31.823
320,-33.229
321,-31.933
322,-33.615
323,-32.473
324,-33.796
325,-33.348
326,-33.964
327,-30.526
328,-34.987
329,-31.118
330,-30.680
331,-30.824
332,-31.788
333,-32.151
334,-31.242
335,-31.767
336,-30.903
337,-30.200
338,-30.127
339,-34.665
340,-31.899
341,-32.505
342,-32.462
343,-32.665
344,-32.675
345,-31.274
346,-31.203
347,-31.600
348,-31.712
349,-32.067
350,-31.773
351,-32.111
352,-31.406
353,-31.304
354,-29.634
355,-31.935
356,-30.500
357,-31.296
358,-32.281
359,-32.746
360,-31.090
361,-31.476
362,-30.153
363,-30.905
364,-30.346
365,-30.700
366,-30.092
367,-29.953
368,-30.902
369,-30.850
370,-30.492
371,-31.352
372,-30.510
373,-31.828
374,-31.794
375,-31.524
376,-31.949
377,-31.191
378,-31.153
379,-31.716
380,-32.732
381,-31.915
382,-32.227
383,-31.806
384,-31.505
385,-31.727
386,-32.706
387,-31.526
388,-32.959
389,-33.116
390,-32.429
391,-31.756
392,-32.706
393,-31.492
394,-31.671
395,-32.436
396,-32.348
397,-31.245
398,-31.977
399,-32.555
400,-31.530
401,-31.668
402,-31.608
403,-32.335
404,-31.334
405,-31.218
406,-31.261
407,-30.715
408,-30.288
409,-29.325
410,-28.908
411,-28.271
412,-27.880
413,-27.583
414,-26.809
415,-26.204
416,-25.727
417,-25.305
418,-24.915
419,-24.431
420,-24.150
421,-23.885
422,-23.723
423,-23.430
424,-23.311
425,-23.239
426,-23.173
427,-23.111
428,-23.148
429,-23.219
430,-23.373
431,-23.653
432,-23.936
433,-24.267
434,-24.620
435,-25.026
436,-25.323
437,-25.796
438,-26.420
439,-26.795
440,-27.213
441,-27.461
442,-27.694
443,-27.706
444,-27.703
445,-27.929
446,-27.848
447,-27.915
448,-28.057
449,-27.999
450,-28.031
451,-27.858
452,-27.881
453,-28.105
454,-27.904
455,-27.880
456,-28.011
457,-27.936
458,-28.016
459,-28.012
460,-28.292
461,-28.196
462,-28.309
463,-28.389
464,-28.469
465,-28.533
466,-28.555
467,-28.540
468,-28.588
469,-28.593
470,-28.747
471,-28.631
472,-28.594
473,-28.672
474,-28.620
475,-28.735
476,-28.790
477,-28.665
478,-28.633
479,-28.785
480,-28.878
481,-28.788
482,-28.788
483,-28.741
484,-28.885
485,-28.901
486,-29.005
487,-28.968
488,-28.959
489,-28.965
490,-28.975
491,-29.088
492,-29.120
493,-29.040
494,-29.178
495,-29.109
496,-29.079
497,-29.054
498,-29.152
499,-29.066
500,-29.277
501,-29.249
502,-29.263
503,-29.294
504,-29.210
505,-29.382
506,-29.317
507,-29.353
508,-29.322
509,-29.173
510,-29.419
511,-29.291
512,-29.325
513,-29.259
514,-29.399
515,-29.395
516,-29.454
517,-29.392
518,-29.550
519,-29.510
520,-29.557
521,-29.628
522,-29.693
523,-29.607
524,-29.640
525,-29.751
526,-29.750
527,-29.711
528,-29.602
529,-29.728
530,-29.732
531,-29.630
532,-29.486
533,-29.549
534,-29.590
535,-29.513
536,-29.661
537,-29.595
538,-29.831
539,-29.838
540,-29.741
541,-29.856
542,-29.845
543,-29.948
544,-29.953
545,-29.922
546,-29.793
547,-29.794
548,-29.766
549,-29.679
550,-29.701
551,-29.807
552,-29.869
553,-29.754
554,-30.073
555,-30.043
556,-29.932
557,-29.829
558,-30.054
559,-29.903
560,-30.094
561,-30.182
562,-30.099
563,-30.126
564,-30.191
565,-30.102
566,-30.139
567,-30.235
568,-30.039
569,-29.919
570,-30.130
571,-29.998
572,-30.004
573,-30.238
574,-29.972
575,-30.363
576,-30.314
577,-30.469
578,-30.471
579,-30.398
580,-30.463
581,-30.584
582,-30.513
583,-30.595
584,-30.503
585,-30.506
586,-30.493
587,-30.504
588,-30.378
589,-30.588
590,-30.596
591,-30.740
592,-30.648
593,-30.533
594,-30.554
595,-30.561
596,-30.480
597,-30.496
598,-30.496
599,-30.494
600,-30.571
601,-30.534
602,-30.365
603,-30.631
604,-30.396
605,-30.458
606,-30.455
607,-30.413
608,-30.438
609,-30.299
610,-30.419
611,-30.345
612,-30.315
613,-30.388
614,-30.455
615,-30.436
616,-30.433
617,-30.398
618,-30.479
619,-30.637
620,-30.419
621,-30.731
622,-30.433
623,-30.490
624,-30.603
625,-30.488
626,-30.640
627,-30.582
628,-30.467
629,-30.540
630,-30.625
631,-30.420
632,-30.413
633,-30.427
634,-30.345
635,-30.457
636,-30.469
637,-30.450
638,-30.208
639,-30.248
640,-30.130
641,-30.329
642,-30.216
643,-30.215
644,-30.332
645,-30.209
646,-30.139
647,-30.237
648,-30.461
649,-30.341
650,-30.422
651,-30.336
652,-30.450
653,-30.358
654,-30.216
655,-30.423
656,-30.290
657,-30.382
658,-30.141
659,-29.903
660,-30.123
661,-29.973
662,-30.086
663,-30.031
664,-29.901
665,-29.948
666,-29.952
667,-29.920
668,-29.965
669,-29.791
670,-29.800
671,-29.872
672,-29.814
673,-29.948
674,-29.831
675,-29.850
676,-29.776
677,-29.763
678,-29.698
679,-29.939
680,-29.884
681,-29.631
682,-29.723
683,-29.759
684,-29.661
685,-29.683
686,-29.688
687,-29.500
688,-29.479
689,-29.393
690,-29.348
691,-29.329
692,-29.277
693,-29.436
694,-29.342
695,-29.248
696,-29.357
697,-29.227
698,-29.344
699,-29.509
700,-29.547
701,-29.570
702,-29.549
703,-29.608
704,-29.416
705,-29.511
706,-29.727
707,-29.767
708,-29.691
709,-29.572
710,-29.672
711,-29.868
712,-29.931
713,-30.015
714,-29.833
715,-29.774
716,-29.776
717,-29.754
718,-29.781
719,-29.818
720,-29.621
721,-29.801
722,-29.785
723,-29.667
724,-29.739
725,-29.683
726,-29.752
727,-29.727
728,-29.853
729,-30.053
730,-29.880
731,-30.019
732,-30.050
733,-29.953
734,-30.114
735,-30.114
736,-30.246
737,-30.324
738,-30.472
739,-30.415
740,-30.398
741,-30.492
742,-30.518
743,-30.494
744,-30.552
745,-30.693
746,-30.613
747,-30.703
748,-30.759
749,-30.600
750,-30.929
751,-30.855
752,-30.852
753,-30.675
754,-30.812
755,-30.796
756,-30.869
757,-30.961
758,-30.916
759,-30.987
760,-31.093
761,-30.987
762,-31.032
763,-31.220
764,-31.396
765,-31.390
766,-31.107
767,-31.522
768,-31.478
769,-31.374
770,-31.187
771,-31.417
772,-31.360
773,-31.193
774,-31.380
775,-31.486
776,-31.542
777,-31.549
778,-31.518
779,-31.787
780,-31.601
781,-31.339
782,-31.297
783,-31.746
784,-31.487
785,-31.404
786,-31.262
787,-31.327
788,-31.596
789,-31.470
790,-31.640
791,-31.645
792,-31.441
793,-31.459
794,-31.511
795,-31.564
796,-31.734
797,-31.493
798,-31.528
799,-31.272
800,-31.558
801,-31.161
802,-31.120
803,-31.201
804,-31.022
805,-31.299
806,-30.829
807,-30.709
808,-30.675
809,-30.775
810,-30.590
811,-30.552
812,-30.373
813,-30.270
814,-30.171
815,-30.194
816,-29.961
817,-30.024
818,-29.828
819,-29.833
820,-30.045
821,-30.033
822,-29.919
823,-30.000
824,-29.930
825,-29.707
826,-29.742
827,-29.664
828,-29.610
829,-29.773
830,-29.611
831,-29.624
832,-29.498
833,-29.444
834,-29.430
835,-29.587
836,-29.488
837,-29.572
838,-29.347
839,-29.446
840,-29.403
841,-29.514
842,-29.477
843,-29.389
844,-29.483
845,-29.288
846,-29.345
847,-29.360
848,-29.322
849,-29.211
850,-29.532
851,-29.274
852,-29.161
853,-29.260
854,-29.262
855,-29.292
856,-29.223
857,-29.503
858,-29.367
859,-29.298
860,-29.256
861,-29.239
862,-29.590
863,-29.197
864,-29.497
865,-29.599
866,-29.556
867,-29.307
868,-29.398
869,-29.414
870,-29.510
871,-29.633
872,-29.311
873,-29.470
874,-29.526
875,-29.272
876,-29.282
877,-29.495
878,-29.370
879,-29.236
880,-29.394
881,-29.346
882,-29.410
883,-29.473
884,-29.450
885,-29.361
886,-29.461
887,-29.567
888,-29.375
889,-29.140
890,-29.202
891,-29.544
892,-29.382
893,-29.361
894,-29.115
895,-29.250
896,-29.217
897,-29.283
898,-29.392
899,-29.346
900,-29.494
901,-29.552
902,-29.568
903,-29.873
904,-29.556
905,-29.625
906,-29.593
907,-29.722
908,-29.655
909,-29.679
910,-29.592
911,-29.743
912,-29.739
913,-29.931
914,-29.920
915,-29.784
916,-29.996
917,-29.904
918,-29.919
919,-29.970
920,-30.096
921,-30.005
922,-30.077
923,-30.147
924,-29.903
925,-29.852
926,-29.813
927,-29.950
928,-29.884
929,-29.865
930,-29.761
931,-29.645
932,-29.845
933,-29.769
934,-29.584
935,-29.762
936,-29.785
937,-29.555
938,-29.543
939,-29.502
940,-29.972
941,-30.046
942,-29.597
943,-29.890
944,-30.059
945,-29.852
946,-29.713
947,-29.748
948,-29.880
949,-29.795
950,-29.956
951,-29.855
952,-30.136
953,-29.895
954,-30.429
955,-30.266
956,-30.615
957,-30.161
958,-30.474
959,-29.994
960,-30.244
961,-30.285
962,-30.340
963,-29.857
964,-30.127
965,-30.309
966,-30.392
967,-30.285
968,-30.707
969,-30.485
970,-30.252
971,-30.227
972,-30.624
973,-30.718
974,-30.517
975,-30.285
976,-30.503
977,-30.235
978,-30.751
979,-30.603
980,-30.203
981,-30.693
982,-30.751
983,-30.633
984,-30.637
985,-30.795
986,-30.876
987,-30.433
988,-30.156
989,-30.242
990,-30.001
991,-30.797
992,-30.552
993,-29.903
994,-30.456
995,-29.297
996,-29.872
997,-29.721
998,-29.511
999,-30.156
1000,-29.541
1001,-29.678
