INDEX,A
1,-20.040
2,-18.776
3,-20.387
4,-20.662
5,-20.955
6,-20.948
7,-21.608
8,-21.975
9,-22.377
10,-22.819
11,-23.170
12,-23.144
13,-23.119
14,-20.148
15,-23.068
16,-23.043
17,-23.018
18,-22.993
19,-22.969
20,-22.917
21,-21.626
22,-21.813
23,-21.571
24,-22.240
25,-22.086
26,-21.937
27,-21.794
28,-21.655
29,-21.525
30,-21.466
31,-19.325
32,-21.350
33,-21.293
34,-21.237
35,-21.181
36,-21.127
37,-21.072
38,-21.019
39,-20.941
40,-20.864
41,-20.788
42,-20.714
43,-20.641
44,-20.569
45,-20.498
46,-20.428
47,-19.822
48,-20.085
49,-19.309
50,-20.336
51,-20.331
52,-20.326
53,-20.320
54,-20.315
55,-16.782
56,-20.304
57,-20.290
58,-20.274
59,-17.390
60,-20.242
61,-20.227
62,-20.211
63,-20.195
64,-20.180
65,-20.164
66,-20.130
67,-20.088
68,-20.047
69,-20.006
70,-19.966
71,-19.925
72,-19.886
73,-19.846
74,-19.807
75,-19.878
76,-20.023
77,-20.172
78,-20.328
79,-20.488
80,-20.655
81,-20.829
82,-20.443
83,-21.199
84,-21.362
85,-21.497
86,-21.637
87,-21.782
88,-21.931
89,-22.086
90,-22.247
91,-20.072
92,-22.587
93,-22.667
94,-22.615
95,-22.563
96,-22.511
97,-22.461
98,-21.427
99,-22.361
100,-22.312
101,-22.263
102,-22.323
103,-22.613
104,-22.454
105,-23.258
106,-20.093
107,-24.016
108,-22.113
109,-24.935
110,-25.480
111,-25.997
112,-26.215
113,-26.445
114,-25.927
115,-25.963
116,-27.218
117,-27.510
118,-27.823
119,-28.160
120,-28.514
121,-28.825
122,-29.159
123,-29.079
124,-29.917
125,-29.421
126,-30.190
127,-30.256
128,-30.323
129,-30.377
130,-30.181
131,-29.993
132,-29.814
133,-29.641
134,-29.462
135,-29.278
136,-29.102
137,-28.011
138,-28.769
139,-28.721
140,-28.679
141,-28.637
142,-28.595
143,-28.480
144,-28.582
145,-28.589
146,-28.597
147,-28.604
148,-27.773
149,-28.656
150,-28.684
151,-27.108
152,-28.742
153,-28.780
154,-28.819
155,-27.933
156,-28.897
157,-28.810
158,-28.958
159,-28.987
160,-29.017
161,-29.047
162,-29.077
163,-29.107
164,-29.138
165,-25.282
166,-29.244
167,-29.340
168,-29.438
169,-29.540
170,-29.644
171,-29.750
172,-29.859
173,-29.971
174,-30.085
175,-30.197
176,-30.307
177,-30.420
178,-29.533
179,-29.691
180,-30.777
181,-29.190
182,-31.033
183,-28.730
184,-31.275
185,-31.357
186,-31.435
187,-31.525
188,-28.855
189,-30.817
190,-31.790
191,-31.883
192,-31.977
193,-32.053
194,-32.101
195,-32.149
196,-31.199
197,-32.247
198,-32.093
199,-30.932
200,-32.398
201,-32.449
202,-32.507
203,-32.579
204,-29.942
205,-32.726
206,-32.801
207,-28.165
208,-32.956
209,-33.036
210,-33.117
211,-33.197
212,-33.272
213,-33.347
214,-33.424
215,-33.502
216,-33.582
217,-33.663
218,-33.745
219,-33.830
220,-33.912
221,-33.969
222,-34.026
223,-34.085
224,-32.830
225,-34.204
226,-34.265
227,-33.331
228,-34.389
229,-34.452
230,-34.507
231,-34.562
232,-34.618
233,-34.674
234,-34.732
235,-34.790
236,-34.849
237,-34.909
238,-34.969
239,-35.027
240,-35.085
241,-35.144
242,-35.203
243,-35.264
244,-35.264
245,-35.388
246,-35.451
247,-35.515
248,-35.557
249,-35.595
250,-35.633
251,-35.671
252,-35.710
253,-34.915
254,-35.789
255,-35.829
256,-35.869
257,-35.897
258,-35.922
259,-35.946
260,-34.561
261,-35.995
262,-36.020
263,-36.045
264,-36.070
265,-36.095
266,-36.124
267,-36.155
268,-36.186
269,-36.218
270,-35.589
271,-36.282
272,-36.315
273,-36.347
274,-36.380
275,-36.147
276,-35.005
277,-35.215
278,-36.520
279,-36.556
280,-35.923
281,-36.628
282,-36.206
283,-36.702
284,-36.729
285,-34.916
286,-36.759
287,-36.775
288,-36.790
289,-36.805
290,-36.821
291,-34.165
292,-35.354
293,-36.868
294,-36.886
295,-36.903
296,-36.920
297,-36.938
298,-36.956
299,-34.973
300,-35.260
301,-37.009
302,-37.026
303,-35.545
304,-37.054
305,-37.069
306,-37.083
307,-37.098
308,-37.112
309,-37.126
310,-37.141
311,-37.157
312,-37.178
313,-36.604
314,-37.220
315,-37.241
316,-37.262
