wavelength, A
4.942285767e+02,3.185907146e-03
4.943851013e+02,-1.827211352e-03
4.945416565e+02,3.513867967e-03
4.946981812e+02,8.901798865e-04
4.948547363e+02,4.497751128e-03
4.950112915e+02,-1.546101994e-03
4.951678467e+02,-1.358695677e-03
4.953244019e+02,-2.483133459e-03
4.954809875e+02,4.263493232e-03
4.956375427e+02,-8.901798865e-04
4.957941284e+02,2.061469248e-03
4.959507141e+02,-2.623688197e-03
4.961072998e+02,3.326461883e-03
4.962639160e+02,-1.218140940e-03
4.964205017e+02,5.434782710e-03
4.965771179e+02,-6.090704701e-04
4.967337341e+02,4.357196391e-03
4.968903503e+02,-5.153673119e-04
4.970469666e+02,2.436281880e-03
4.972036133e+02,-1.546101994e-03
4.973602600e+02,4.732009023e-03
4.975169067e+02,-1.499250415e-03
4.976735535e+02,6.559220492e-04
4.978302002e+02,-2.202023985e-03
4.979868774e+02,4.966266919e-03
4.981435242e+02,-5.059970077e-03
4.983002014e+02,4.825712182e-03
4.984568787e+02,-1.592953573e-03
4.986135559e+02,6.465517450e-03
4.987702637e+02,-9.370314656e-04
4.989269409e+02,2.998500830e-03
4.990836487e+02,-2.623688197e-03
4.992403564e+02,1.358695677e-03
4.993970642e+02,-2.857946092e-03
4.995538025e+02,8.901798865e-04
4.997105103e+02,-2.061469248e-03
4.998672485e+02,3.654422704e-03
5.000239868e+02,-2.529985039e-03
5.001807251e+02,3.467016388e-03
5.003374634e+02,-6.559220492e-04
5.004942322e+02,3.888680600e-03
5.006510010e+02,-5.622188910e-04
5.008077393e+02,1.452398836e-03
5.009645386e+02,-3.701274283e-03
5.011213074e+02,3.841829021e-03
5.012780762e+02,-4.685157328e-04
5.014348755e+02,4.732009023e-03
5.015916748e+02,-2.155172406e-03
5.017484741e+02,2.998500830e-03
5.019052734e+02,-4.404047970e-03
5.020620728e+02,3.092203988e-03
5.022189026e+02,3.279610246e-04
5.023757324e+02,4.029235337e-03
5.025325623e+02,-1.827211352e-03
5.026893921e+02,1.452398836e-03
5.028462219e+02,-1.124437782e-03
5.030030823e+02,4.497751128e-03
5.031599121e+02,-1.264992519e-03
5.033167725e+02,3.888680600e-03
5.034736328e+02,-2.717391355e-03
5.036304932e+02,3.888680600e-03
5.037873840e+02,-2.951649250e-03
5.039442749e+02,1.920914510e-03
5.041011353e+02,-5.622188910e-04
5.042580261e+02,1.592953573e-03
5.044149475e+02,8.433283074e-04
5.045718384e+02,4.732009023e-03
5.047287598e+02,-2.811094513e-03
5.048856506e+02,3.279610246e-04
5.050425720e+02,-2.764242934e-03
5.051994934e+02,5.059970077e-03
5.053564453e+02,9.370315092e-05
5.055133667e+02,2.670539776e-03
5.056703186e+02,-7.496252074e-04
5.058272705e+02,5.200524814e-03
5.059842224e+02,-3.373313230e-03
5.061411743e+02,3.888680600e-03
5.062981567e+02,-4.685157546e-05
5.064551086e+02,6.980884355e-03
5.066120911e+02,-5.481634289e-03
5.067690735e+02,4.966266919e-03
5.069260559e+02,1.218140940e-03
5.070830688e+02,5.950150080e-03
5.072400513e+02,-4.685157546e-05
5.073970642e+02,1.405547257e-03
5.075540771e+02,-7.027736283e-04
5.077110901e+02,2.108320827e-03
5.078681030e+02,-1.077586203e-03
5.080251465e+02,3.326461883e-03
5.081821899e+02,-1.639805152e-03
5.083392334e+02,1.733508194e-03
5.084962769e+02,-1.124437782e-03
5.086533203e+02,4.544602707e-03
5.088103638e+02,-2.576836618e-03
5.089674377e+02,2.295727143e-03
5.091245117e+02,-2.670539776e-03
5.092815857e+02,2.764242934e-03
5.094386597e+02,-2.202023985e-03
5.095957336e+02,4.450899549e-03
5.097528381e+02,-3.279610246e-04
5.099099426e+02,6.137556396e-03
5.100670471e+02,-3.748125862e-03
5.102241516e+02,2.951649250e-03
5.103812561e+02,-2.717391355e-03
5.105383911e+02,2.904797671e-03
5.106954956e+02,-1.218140940e-03
5.108526306e+02,2.295727143e-03
5.110097656e+02,-3.185907146e-03
5.111669312e+02,5.106821656e-03
5.113240662e+02,-3.748126037e-04
5.114812317e+02,4.263493232e-03
5.116383667e+02,3.326461883e-03
5.117955322e+02,3.513867967e-03
5.119527283e+02,-2.904797671e-03
5.121098633e+02,3.701274283e-03
5.122670898e+02,-2.857946092e-03
5.124242554e+02,5.715892185e-03
5.125814819e+02,-1.686656615e-03
5.127386475e+02,1.546101994e-03
5.128958740e+02,9.838830447e-04
5.130531006e+02,1.967766089e-03
5.132102661e+02,-1.920914510e-03
5.133674927e+02,3.607571125e-03
5.135247192e+02,-2.717391355e-03
5.136819458e+02,6.512369029e-03
5.138392334e+02,-3.607571125e-03
5.139964600e+02,3.607571125e-03
5.141536865e+02,1.499250415e-03
5.143109741e+02,3.982383758e-03
5.144682007e+02,-1.967766089e-03
5.146254883e+02,5.247376394e-03
5.147827759e+02,-2.998500830e-03
5.149400635e+02,4.216641653e-03
5.150973511e+02,-2.389430301e-03
5.152546387e+02,4.919415340e-03
5.154119263e+02,-3.888680600e-03
5.155692139e+02,1.874062931e-03
5.157265015e+02,1.874063018e-04
5.158838501e+02,2.951649250e-03
5.160411377e+02,-2.295727143e-03
5.161984863e+02,4.450899549e-03
5.163558350e+02,-3.279610246e-04
5.165131226e+02,4.404047970e-03
5.166704712e+02,-3.513867967e-03
5.168278198e+02,3.748125862e-03
5.169851685e+02,-2.951649250e-03
5.171425781e+02,2.155172406e-03
5.172999268e+02,-3.748126037e-04
5.174572754e+02,3.748126037e-04
5.176146851e+02,-3.748126037e-04
5.177720337e+02,4.544602707e-03
5.179294434e+02,-5.434782710e-03
5.180867920e+02,2.014617668e-03
5.182442017e+02,-4.029235337e-03
5.184016113e+02,4.450899549e-03
5.185590210e+02,4.216641537e-04
5.187164307e+02,5.013118498e-03
5.188738403e+02,-2.483133459e-03
5.190313110e+02,4.825712182e-03
5.191887207e+02,-9.370314656e-04
5.193461914e+02,2.717391355e-03
5.195036011e+02,-6.559220492e-04
5.196610718e+02,4.357196391e-03
5.198184814e+02,-3.513867967e-03
5.199759521e+02,5.434782710e-03
5.201334229e+02,-1.452398836e-03
5.202908936e+02,5.387931131e-03
5.204483643e+02,-2.623688197e-03
5.206058960e+02,3.279610304e-03
5.207633667e+02,-1.874062931e-03
5.209208374e+02,1.077586203e-03
5.210783691e+02,-1.546101994e-03
5.212358398e+02,1.546101994e-03
5.213933716e+02,-4.685157444e-03
5.215509033e+02,3.607571125e-03
5.217083740e+02,-4.216641653e-03
5.218659058e+02,3.607571125e-03
5.220234375e+02,-2.014617668e-03
5.221810303e+02,5.387931131e-03
5.223385620e+02,-7.964767865e-04
5.224960938e+02,2.248875564e-03
5.226536865e+02,-3.888680600e-03
5.228112183e+02,2.811094513e-03
5.229688110e+02,-1.920914510e-03
5.231263428e+02,6.278111134e-03
5.232839355e+02,7.964767865e-04
5.234415283e+02,5.341079552e-03
5.235991211e+02,-2.155172406e-03
5.237567139e+02,3.045352409e-03
5.239143066e+02,-1.967766089e-03
5.240718994e+02,5.434782710e-03
5.242295532e+02,-7.496252074e-04
5.243871460e+02,2.576836618e-03
5.245447388e+02,-3.935532179e-03
5.247023926e+02,4.169790074e-03
5.248600464e+02,-7.496252074e-04
5.250177002e+02,4.638305865e-03
5.251752930e+02,-2.529985039e-03
5.253329468e+02,6.137556396e-03
5.254906006e+02,-1.733508194e-03
5.256483154e+02,4.966266919e-03
5.258059692e+02,-1.686656615e-03
5.259636230e+02,5.294227973e-03
5.261213379e+02,-2.857946092e-03
5.262789917e+02,4.544602707e-03
5.264367065e+02,-7.496252074e-04
5.265943604e+02,5.059970077e-03
5.267520752e+02,-6.090704701e-04
5.269097900e+02,3.888680600e-03
5.270675049e+02,2.811094455e-04
5.272252197e+02,2.483133459e-03
5.273829346e+02,-1.874062931e-03
5.275407104e+02,5.387931131e-03
5.276984253e+02,-2.014617668e-03
5.278561401e+02,5.434782710e-03
5.280139160e+02,-1.499250415e-03
5.281716919e+02,3.045352409e-03
5.283294067e+02,-8.433283074e-04
5.284871826e+02,7.543103304e-03
5.286449585e+02,-2.014617668e-03
5.288027344e+02,1.780359773e-03
5.289605103e+02,-3.373313230e-03
5.291182861e+02,1.920914510e-03
5.292760620e+02,-7.027736283e-04
5.294338989e+02,2.342578722e-03
5.295916748e+02,-7.964767865e-04
5.297495117e+02,3.513867967e-03
5.299072876e+02,-2.764242934e-03
5.300651245e+02,3.935532179e-03
5.302229614e+02,-4.450899549e-03
5.303807983e+02,3.045352409e-03
5.305386353e+02,-2.108320827e-03
5.306964722e+02,3.045352409e-03
5.308543091e+02,-4.216641537e-04
5.310121460e+02,3.045352409e-03
5.311700439e+02,-1.077586203e-03
5.313278809e+02,6.559220608e-03
5.314857788e+02,-6.559220492e-04
5.316436157e+02,5.434782710e-03
5.318015137e+02,-3.045352409e-03
5.319594116e+02,4.076086916e-03
5.321173096e+02,-3.748125862e-03
5.322752075e+02,5.059970077e-03
5.324331055e+02,-1.171289361e-03
5.325910034e+02,4.122938495e-03
5.327489014e+02,-2.248875564e-03
5.329068604e+02,5.341079552e-03
5.330647583e+02,-8.433283074e-04
5.332227173e+02,2.811094513e-03
5.333806152e+02,-7.027736283e-04
5.335385742e+02,2.670539776e-03
5.336965332e+02,-1.311844098e-03
5.338544922e+02,3.513867967e-03
5.340124512e+02,-2.623688197e-03
5.341704102e+02,4.357196391e-03
5.343283691e+02,-9.370314656e-04
5.344863892e+02,2.576836618e-03
5.346443481e+02,-2.483133459e-03
5.348023071e+02,6.465517450e-03
5.349603271e+02,6.090704701e-04
5.351183472e+02,4.263493232e-03
5.352763062e+02,-3.560719546e-03
5.354343262e+02,3.607571125e-03
5.355923462e+02,-2.951649250e-03
5.357503662e+02,4.732009023e-03
5.359083862e+02,-2.389430301e-03
5.360664062e+02,4.263493232e-03
5.362244873e+02,-1.452398836e-03
5.363825073e+02,2.670539776e-03
5.365405884e+02,-4.685157444e-03
5.366986084e+02,1.920914510e-03
5.368566895e+02,-2.436281880e-03
5.370147095e+02,3.607571125e-03
5.371727905e+02,-5.153673119e-04
5.373308716e+02,7.261993829e-03
5.374889526e+02,2.155172406e-03
5.376470337e+02,3.841829021e-03
5.378051758e+02,-1.264992519e-03
5.379632568e+02,6.512369029e-03
5.381213379e+02,5.153673119e-04
5.382794800e+02,3.794977441e-03
5.384375610e+02,-2.155172406e-03
5.385957031e+02,2.951649250e-03
5.387538452e+02,-3.467016388e-03
5.389119263e+02,4.029235337e-03
5.390700684e+02,-1.030734624e-03
5.392282104e+02,4.450899549e-03
5.393864136e+02,-3.279610246e-04
5.395445557e+02,5.200524814e-03
5.397026978e+02,-2.951649250e-03
5.398608398e+02,1.452398836e-03
5.400190430e+02,9.838830447e-04
5.401771851e+02,4.544602707e-03
5.403353882e+02,-1.780359773e-03
5.404935913e+02,5.622189026e-03
5.406517944e+02,2.108320827e-03
5.408099976e+02,2.061469248e-03
5.409682007e+02,-1.124437782e-03
5.411264038e+02,5.856446922e-03
5.412846069e+02,-1.592953573e-03
5.414428101e+02,3.935532179e-03
5.416010742e+02,-3.794977441e-03
5.417592773e+02,5.997001659e-03
5.419175415e+02,-7.496252074e-04
5.420757446e+02,6.887181196e-03
5.422340088e+02,-3.420164809e-03
5.423922729e+02,3.467016388e-03
5.425505371e+02,-1.358695677e-03
5.427088013e+02,1.546101994e-03
5.428670654e+02,-1.405547257e-03
5.430253296e+02,5.200524814e-03
5.431835938e+02,1.405547227e-04
5.433419189e+02,5.153673235e-03
5.435001831e+02,-4.685157328e-04
5.436585083e+02,2.576836618e-03
5.438167725e+02,-2.764242934e-03
5.439750977e+02,2.295727143e-03
5.441334229e+02,-1.405547227e-04
5.442917480e+02,2.576836618e-03
5.444500732e+02,-1.452398836e-03
5.446083984e+02,3.092203988e-03
5.447667236e+02,-1.311844098e-03
5.449250488e+02,4.263493232e-03
5.450834351e+02,-2.014617668e-03
5.452417603e+02,3.326461883e-03
5.454001465e+02,1.499250415e-03
5.455584717e+02,3.748125862e-03
5.457168579e+02,-2.342578722e-03
5.458752441e+02,5.434782710e-03
5.460336304e+02,-2.857946092e-03
5.461920166e+02,3.654422704e-03
5.463504028e+02,-3.560719546e-03
5.465087891e+02,6.465517450e-03
5.466671753e+02,1.499250415e-03
5.468256226e+02,3.888680600e-03
5.469840088e+02,-2.295727143e-03
5.471424561e+02,7.402548566e-03
5.473008423e+02,-2.295727143e-03
5.474592896e+02,4.216641653e-03
5.476177368e+02,-1.452398836e-03
5.477761841e+02,6.043853238e-03
5.479346313e+02,-1.077586203e-03
5.480930786e+02,6.137556396e-03
5.482515259e+02,-2.061469248e-03
5.484099731e+02,3.467016388e-03
5.485684814e+02,1.030734624e-03
5.487269287e+02,3.326461883e-03
5.488854370e+02,2.811094455e-04
5.490438843e+02,5.809595343e-03
5.492023926e+02,7.027736283e-04
5.493609009e+02,5.528485868e-03
5.495194092e+02,2.811094513e-03
5.496779175e+02,2.576836618e-03
5.498364258e+02,-1.499250415e-03
5.499949341e+02,6.840329617e-03
5.501534424e+02,-1.827211352e-03
5.503120117e+02,7.355696987e-03
5.504705200e+02,6.559220492e-04
5.506290283e+02,7.824213244e-03
5.507875977e+02,1.639805152e-03
5.509461670e+02,4.404047970e-03
5.511047363e+02,7.964767865e-04
5.512632446e+02,4.919415340e-03
5.514218140e+02,9.838830447e-04
5.515804443e+02,6.934032775e-03
5.517390137e+02,1.546101994e-03
5.518975830e+02,4.450899549e-03
5.520561523e+02,-1.733508194e-03
5.522147827e+02,5.950150080e-03
5.523733521e+02,7.027736283e-04
5.525319824e+02,6.746626459e-03
5.526905518e+02,-2.202023985e-03
5.528491821e+02,5.950150080e-03
5.530078125e+02,-1.639805152e-03
5.531664429e+02,3.794977441e-03
5.533250732e+02,-4.685157546e-05
5.534837036e+02,4.685157444e-03
5.536423340e+02,1.920914510e-03
5.538010254e+02,5.575337447e-03
5.539596558e+02,5.622188910e-04
5.541183472e+02,5.200524814e-03
5.542769775e+02,-2.342578664e-04
5.544356689e+02,4.497751128e-03
5.545943604e+02,1.218140940e-03
5.547530518e+02,2.108320827e-03
5.549117432e+02,5.153673119e-04
5.550704346e+02,4.638305865e-03
5.552291260e+02,1.452398836e-03
5.553878174e+02,3.279610304e-03
5.555465088e+02,2.248875564e-03
5.557052612e+02,6.652923767e-03
5.558639526e+02,5.622188910e-04
5.560227051e+02,6.512369029e-03
5.561813965e+02,1.546101994e-03
5.563401489e+02,4.216641653e-03
5.564989014e+02,1.827211352e-03
5.566576538e+02,8.667541668e-03
5.568164062e+02,1.967766089e-03
5.569751587e+02,6.934032775e-03
5.571339111e+02,-9.838830447e-04
5.572926636e+02,4.685157444e-03
5.574514771e+02,6.559220492e-04
5.576102295e+02,3.560719546e-03
5.577690430e+02,-4.685157328e-04
5.579277954e+02,6.746626459e-03
5.580866089e+02,-1.499250415e-03
5.582454224e+02,3.373313230e-03
5.584042358e+02,-2.108320827e-03
5.585630493e+02,6.371814292e-03
5.587218628e+02,-1.311844098e-03
5.588806763e+02,6.793478038e-03
5.590394897e+02,1.077586203e-03
5.591983643e+02,4.263493232e-03
5.593571777e+02,4.685157546e-05
5.595160522e+02,6.840329617e-03
5.596748657e+02,0.000000000e+00
5.598337402e+02,3.888680600e-03
5.599926147e+02,2.342578664e-04
5.601514893e+02,6.512369029e-03
5.603103638e+02,-2.202023985e-03
5.604692383e+02,2.998500830e-03
5.606281128e+02,-1.780359773e-03
5.607869873e+02,3.794977441e-03
5.609459229e+02,9.370315092e-05
5.611047974e+02,5.528485868e-03
5.612637329e+02,1.171289361e-03
5.614226074e+02,4.778860603e-03
5.615815430e+02,-2.998500830e-03
5.617404785e+02,1.639805152e-03
5.618994141e+02,-7.496252074e-04
5.620582886e+02,6.793478038e-03
5.622172852e+02,2.576836618e-03
5.623762207e+02,6.746626459e-03
5.625351562e+02,-1.405547227e-04
5.626940918e+02,6.699774880e-03
5.628530884e+02,1.405547227e-04
5.630120239e+02,3.326461883e-03
5.631710205e+02,-4.685157546e-05
5.633299561e+02,4.544602707e-03
5.634889526e+02,-2.623688197e-03
5.636479492e+02,5.059970077e-03
5.638069458e+02,1.405547227e-04
5.639659424e+02,6.184407976e-03
5.641249390e+02,-9.370315092e-05
5.642839355e+02,5.762743764e-03
5.644429932e+02,1.405547227e-04
5.646019897e+02,3.701274283e-03
5.647609863e+02,1.733508194e-03
5.649200439e+02,8.480135351e-03
5.650791016e+02,2.202023985e-03
5.652380981e+02,3.654422704e-03
5.653971558e+02,2.670539776e-03
5.655562134e+02,2.670539776e-03
5.657152710e+02,-4.685157546e-05
5.658743286e+02,5.434782710e-03
5.660333862e+02,-8.901798865e-04
5.661925049e+02,6.793478038e-03
5.663515625e+02,6.090704701e-04
5.665106201e+02,4.544602707e-03
5.666697388e+02,1.546101994e-03
5.668288574e+02,6.090704817e-03
5.669879150e+02,-1.405547257e-03
5.671470337e+02,5.622189026e-03
5.673061523e+02,-3.748126037e-04
5.674652710e+02,7.074587513e-03
5.676243896e+02,-2.483133459e-03
5.677835083e+02,5.481634289e-03
5.679426270e+02,-2.342578664e-04
5.681018066e+02,8.292729035e-03
5.682609253e+02,-2.904797671e-03
5.684201050e+02,5.528485868e-03
5.685792236e+02,5.153673119e-04
5.687384033e+02,3.982383758e-03
5.688975830e+02,1.030734624e-03
5.690567017e+02,5.809595343e-03
5.692158813e+02,-1.874063018e-04
