INDEX,A
1,-20.040
2,-18.736
3,-20.387
4,-18.902
5,-20.955
6,-21.269
7,-20.434
8,-21.975
9,-21.471
10,-22.819
11,-23.170
12,-23.144
13,-23.119
14,-23.093
15,-19.122
16,-23.043
17,-20.336
18,-21.765
19,-22.969
20,-21.071
21,-21.339
22,-21.318
23,-22.400
24,-19.118
25,-19.302
26,-19.759
27,-21.794
28,-17.980
29,-20.754
30,-20.210
31,-20.812
32,-21.350
33,-21.293
34,-21.237
35,-21.181
36,-19.547
37,-18.389
38,-21.019
39,-19.236
40,-20.864
41,-20.788
42,-16.968
43,-19.760
44,-20.569
45,-18.327
46,-17.062
47,-20.360
48,-20.347
49,-17.272
50,-20.336
51,-20.331
52,-20.326
53,-20.320
54,-20.315
55,-16.947
56,-19.205
57,-20.037
58,-16.622
59,-18.729
60,-20.242
61,-20.227
62,-20.211
63,-20.195
64,-20.180
65,-17.803
66,-17.920
67,-20.088
68,-20.047
69,-20.006
70,-19.822
71,-19.925
72,-19.652
73,-14.901
74,-17.517
75,-18.721
76,-20.023
77,-20.172
78,-18.243
79,-20.488
80,-18.583
81,-17.235
82,-21.010
83,-21.199
84,-18.175
85,-18.622
86,-19.713
87,-21.782
88,-21.897
89,-22.086
90,-20.198
91,-21.422
92,-19.749
93,-22.667
94,-21.654
95,-22.563
96,-22.511
97,-17.955
98,-21.990
99,-22.361
100,-20.694
101,-17.664
102,-18.783
103,-20.059
104,-20.610
105,-23.258
106,-23.620
107,-24.016
108,-24.108
109,-24.870
110,-25.480
111,-25.756
112,-26.215
113,-26.445
114,-22.802
115,-24.611
116,-27.218
117,-26.577
118,-27.187
119,-25.523
120,-27.290
121,-28.350
122,-25.970
123,-29.521
124,-29.917
125,-30.125
126,-25.970
127,-30.256
128,-25.736
129,-25.720
130,-26.104
131,-28.419
132,-24.555
133,-26.108
134,-26.245
135,-29.278
136,-24.935
137,-26.640
138,-24.763
139,-27.367
140,-23.054
141,-27.530
142,-25.806
143,-28.574
144,-24.395
145,-27.634
146,-25.071
147,-23.730
148,-28.629
149,-25.724
150,-23.344
151,-24.126
152,-28.742
153,-24.164
154,-23.642
155,-26.429
156,-24.111
157,-25.522
158,-25.302
159,-23.720
160,-23.985
161,-22.832
162,-26.265
163,-24.702
164,-24.654
165,-26.455
166,-29.244
167,-25.169
168,-24.879
169,-25.577
170,-25.092
171,-24.420
172,-25.972
173,-23.078
174,-25.977
175,-25.954
176,-25.359
177,-24.291
178,-27.003
179,-26.716
180,-26.144
181,-25.851
182,-25.997
183,-24.847
184,-26.169
185,-25.713
186,-26.232
187,-26.098
188,-25.551
189,-25.918
190,-26.606
191,-24.895
192,-25.248
193,-26.310
194,-27.019
195,-25.358
196,-27.655
197,-25.532
198,-26.338
199,-26.542
200,-28.153
201,-26.990
202,-26.183
203,-26.687
204,-26.518
205,-26.799
206,-27.197
207,-26.379
208,-26.996
209,-25.622
210,-26.379
211,-27.128
212,-27.692
213,-26.629
214,-27.545
215,-27.445
216,-27.689
217,-26.805
218,-26.837
219,-28.014
220,-26.784
221,-27.163
222,-26.753
223,-26.210
224,-27.297
225,-27.186
226,-26.869
227,-28.002
228,-26.831
229,-27.095
230,-28.036
231,-26.516
232,-26.388
233,-27.270
234,-26.906
235,-27.176
236,-27.009
237,-26.760
238,-26.818
239,-27.543
240,-27.980
241,-27.604
242,-28.386
243,-27.052
244,-27.542
245,-27.396
246,-27.571
247,-27.611
248,-27.035
249,-27.482
250,-28.076
251,-27.246
252,-28.278
253,-27.375
254,-28.552
255,-27.946
256,-27.840
257,-27.294
258,-27.604
259,-27.188
260,-27.986
261,-27.987
262,-27.870
263,-27.885
264,-27.527
265,-28.766
266,-27.785
267,-27.863
268,-27.861
269,-28.378
270,-29.073
271,-28.150
272,-29.549
273,-28.806
274,-28.482
275,-29.638
276,-28.607
277,-29.062
278,-28.661
279,-28.595
280,-30.155
281,-29.150
282,-28.727
283,-28.646
284,-29.917
285,-28.108
286,-28.933
287,-30.731
288,-30.097
289,-28.954
290,-31.589
291,-30.811
292,-30.496
293,-30.362
294,-30.618
295,-31.505
296,-31.240
297,-29.806
298,-30.859
299,-30.341
300,-29.325
301,-30.421
302,-30.288
303,-31.146
304,-31.129
305,-30.202
306,-30.612
307,-29.728
308,-31.196
309,-31.230
310,-29.933
311,-30.367
312,-30.104
313,-30.806
314,-31.175
315,-30.394
316,-33.745
317,-30.956
318,-31.704
319,-30.206
320,-31.045
321,-32.090
322,-31.309
323,-30.995
324,-31.145
325,-30.474
326,-30.081
327,-31.903
328,-30.295
329,-29.839
330,-30.463
331,-30.024
332,-29.638
333,-31.239
334,-30.632
335,-30.025
336,-29.554
337,-30.026
338,-29.446
339,-29.710
340,-30.563
341,-29.444
342,-31.071
343,-30.094
344,-29.997
345,-29.203
346,-30.378
347,-30.318
348,-29.356
349,-30.341
350,-30.284
351,-29.451
352,-29.683
353,-30.199
354,-28.992
355,-29.294
356,-30.237
357,-29.688
358,-29.512
359,-30.079
360,-30.984
361,-29.559
362,-29.174
363,-29.103
364,-29.724
365,-29.210
366,-29.987
367,-29.960
368,-31.065
369,-29.954
370,-30.962
371,-29.436
372,-29.702
373,-30.068
374,-30.111
375,-31.205
376,-30.520
377,-30.272
378,-30.241
379,-30.832
380,-30.702
381,-30.661
382,-30.392
383,-30.532
384,-30.691
385,-30.800
