INDEX,A
1,-18.968
2,-20.129
3,-20.387
4,-20.662
5,-20.675
6,-21.269
7,-21.608
8,-21.975
9,-20.551
10,-22.819
11,-22.041
12,-23.144
13,-20.224
14,-21.533
15,-23.068
16,-21.924
17,-22.217
18,-22.596
19,-20.583
20,-22.917
21,-22.071
22,-22.565
23,-22.400
24,-22.240
25,-22.086
26,-21.937
27,-21.794
28,-21.655
29,-21.525
30,-21.466
31,-19.498
32,-21.350
33,-21.293
34,-20.920
35,-21.181
36,-21.127
37,-21.072
38,-21.019
39,-20.941
40,-20.864
41,-20.788
42,-18.486
43,-20.641
44,-20.569
45,-19.320
46,-20.428
47,-20.360
48,-20.347
49,-15.026
50,-20.336
51,-20.331
52,-20.326
53,-19.208
54,-20.213
55,-16.024
56,-20.304
57,-20.290
58,-19.477
59,-18.347
60,-20.242
61,-20.227
62,-18.213
63,-18.640
64,-20.180
65,-16.935
66,-20.094
67,-20.088
68,-20.047
69,-20.006
70,-18.593
71,-19.925
72,-19.886
73,-19.034
74,-19.807
75,-19.878
76,-20.023
77,-18.858
78,-20.328
79,-20.488
80,-17.601
81,-20.829
82,-21.010
83,-21.199
84,-21.095
85,-21.497
86,-21.637
87,-20.507
88,-19.993
89,-22.086
90,-22.247
91,-22.413
92,-20.339
93,-20.202
94,-22.615
95,-19.432
96,-22.511
97,-22.461
98,-22.411
99,-21.794
100,-19.421
101,-22.263
102,-22.323
103,-22.613
104,-22.924
105,-23.258
106,-23.620
107,-24.016
108,-23.864
109,-24.935
110,-25.372
111,-22.962
112,-24.700
113,-24.896
114,-24.096
115,-26.945
116,-26.701
117,-27.510
118,-25.637
119,-28.160
120,-28.514
121,-28.825
122,-29.159
123,-29.522
124,-29.917
125,-30.125
126,-30.190
127,-29.360
128,-30.323
129,-30.377
130,-30.181
131,-29.464
132,-29.814
133,-29.317
134,-29.462
135,-29.278
136,-26.913
137,-26.280
138,-28.769
139,-28.721
140,-28.679
141,-28.637
142,-28.488
143,-28.574
144,-28.582
145,-28.589
146,-28.597
147,-27.008
148,-28.629
149,-28.656
150,-28.684
151,-27.524
152,-28.742
153,-27.554
154,-26.958
155,-28.858
156,-26.711
157,-28.928
158,-27.656
159,-28.625
160,-29.017
161,-29.047
162,-25.084
163,-29.107
164,-27.867
165,-29.169
166,-29.184
167,-29.340
168,-29.439
169,-29.540
170,-29.644
171,-29.750
172,-29.859
173,-29.203
174,-30.085
175,-30.197
176,-30.307
177,-28.279
178,-30.170
179,-29.928
180,-30.777
181,-30.903
182,-31.033
183,-31.166
184,-31.275
185,-31.357
186,-30.032
187,-31.525
188,-29.552
189,-31.700
190,-30.691
191,-31.883
192,-31.977
193,-32.053
194,-32.101
195,-32.149
196,-32.197
197,-27.424
198,-31.209
199,-28.862
200,-30.658
201,-32.449
202,-32.507
203,-32.579
204,-32.652
205,-32.726
206,-30.321
207,-32.878
208,-32.956
209,-32.546
210,-29.140
211,-33.197
212,-31.668
213,-33.347
214,-33.424
215,-32.446
216,-33.582
217,-33.663
218,-33.745
219,-32.152
220,-33.912
221,-33.969
222,-34.026
223,-34.085
224,-34.144
225,-34.078
226,-34.265
227,-32.412
228,-34.389
229,-34.452
230,-33.037
231,-34.562
232,-34.618
233,-34.674
234,-34.732
235,-31.727
236,-34.849
237,-34.909
238,-33.134
239,-35.027
240,-30.382
241,-35.144
242,-35.203
243,-33.002
244,-35.325
245,-34.066
246,-35.451
247,-35.515
248,-35.557
249,-35.595
250,-35.633
251,-34.050
252,-34.190
253,-35.749
254,-35.789
255,-35.829
256,-35.345
257,-35.897
258,-35.922
259,-35.946
260,-35.970
261,-35.995
262,-36.020
263,-36.045
264,-36.070
265,-36.095
266,-36.124
267,-36.155
268,-34.868
269,-33.643
270,-36.250
271,-36.282
