INDEX,A
1,-20.040
2,-19.146
3,-20.387
4,-20.662
5,-20.955
6,-21.269
7,-21.267
8,-19.362
9,-22.377
10,-21.881
11,-23.170
12,-23.144
13,-23.119
14,-22.013
15,-23.068
16,-22.430
17,-23.018
18,-22.993
19,-19.814
20,-22.917
21,-21.757
22,-22.565
23,-22.400
24,-22.240
25,-22.086
26,-20.346
27,-21.794
28,-20.367
29,-21.525
30,-20.301
31,-21.408
32,-19.969
33,-21.293
34,-21.237
35,-21.181
36,-21.127
37,-21.072
38,-21.019
39,-20.941
40,-18.590
41,-20.788
42,-20.714
43,-20.641
44,-20.569
45,-19.863
46,-18.475
47,-20.360
48,-20.347
49,-16.010
50,-20.336
51,-20.331
52,-20.326
53,-20.320
54,-18.236
55,-20.309
56,-20.304
57,-20.290
58,-20.274
59,-17.141
60,-20.242
61,-20.227
62,-19.006
63,-20.195
64,-19.771
65,-19.618
66,-18.492
67,-20.088
68,-20.047
69,-20.006
70,-19.447
71,-19.925
72,-19.886
73,-19.846
74,-19.807
75,-19.878
76,-20.023
77,-20.172
78,-20.328
79,-20.488
80,-19.913
81,-18.241
82,-21.010
83,-21.199
84,-18.866
85,-20.339
86,-20.826
87,-19.145
88,-21.931
89,-22.086
90,-22.247
91,-22.413
92,-22.587
93,-21.785
94,-19.246
95,-20.950
96,-22.511
97,-22.461
98,-22.411
99,-22.361
100,-22.312
101,-21.790
102,-22.323
103,-22.613
104,-22.739
105,-20.482
106,-23.620
107,-22.409
108,-24.451
109,-24.935
110,-25.480
111,-25.859
112,-26.215
113,-26.445
114,-26.688
115,-26.945
116,-25.766
117,-26.941
118,-27.823
119,-25.750
120,-28.514
121,-26.429
122,-29.159
123,-29.522
124,-26.995
125,-30.125
126,-27.733
127,-30.256
128,-28.586
129,-30.377
130,-30.181
131,-28.104
132,-29.814
133,-29.641
134,-29.462
135,-27.467
136,-29.102
137,-28.932
138,-27.584
139,-28.721
140,-28.679
141,-28.637
142,-28.595
143,-28.574
144,-28.582
145,-28.589
146,-28.597
147,-27.997
148,-26.433
149,-28.656
150,-27.836
151,-28.711
152,-28.742
153,-26.905
154,-25.774
155,-28.120
156,-28.897
157,-28.928
158,-28.958
159,-28.987
160,-29.017
161,-27.460
162,-29.077
163,-29.107
164,-28.290
165,-27.301
166,-29.217
167,-29.340
168,-27.123
169,-29.540
170,-27.217
171,-29.750
172,-28.177
173,-29.971
174,-30.085
175,-27.475
176,-30.307
177,-30.420
178,-30.032
179,-30.654
180,-29.418
181,-30.903
182,-29.224
183,-30.958
184,-29.908
185,-31.357
186,-31.440
187,-30.741
188,-29.461
189,-30.004
190,-31.790
191,-31.883
192,-30.808
193,-30.138
194,-32.101
195,-30.096
196,-32.197
197,-32.247
198,-29.922
199,-32.347
200,-32.398
201,-31.485
202,-29.052
203,-30.832
204,-32.652
205,-32.726
206,-32.801
